module,contrast,delta_median,p_exact,n1,n2,FDR_BH
IFN_antiviral,MS vs IIH,-0.05560461405443101,1.0,9,9,1.0
TNF_NFkB,MS vs IIH,-0.017631980511131073,1.0,9,9,1.0
IL1_IL6,MS vs IIH,-0.0016163816475309178,1.0,9,9,1.0
TGF_remodeling,MS vs IIH,0.1856620389825731,0.69765528589058,9,9,1.0
Myeloid_proteolytic,MS vs IIH,-0.7302033525104537,0.07795146030440148,9,9,0.22699849170437406
Chemokine,MS vs IIH,-0.46531581556954416,0.04709995886466475,9,9,0.22699849170437406
VEGF_angiogenic,MS vs IIH,-0.39420226750477155,0.09728506787330317,9,9,0.22699849170437406
IFN_antiviral,VE vs IIH,1.3329926255286146,0.027472527472527472,5,9,0.11655011655011656
TNF_NFkB,VE vs IIH,0.8503116205461325,0.03496503496503497,5,9,0.11655011655011656
IL1_IL6,VE vs IIH,0.35946290248520524,0.26573426573426573,5,9,0.465034965034965
TGF_remodeling,VE vs IIH,0.9439572688623361,0.04995004995004995,5,9,0.11655011655011656
Myeloid_proteolytic,VE vs IIH,-0.2783332682738504,0.6628371628371629,5,9,0.7733100233100233
Chemokine,VE vs IIH,0.05952871946668897,1.0,5,9,1.0
VEGF_angiogenic,VE vs IIH,-0.28468947337172257,0.6628371628371629,5,9,0.7733100233100233
IFN_antiviral,VE vs MS,1.3885972395830455,0.01998001998001998,5,9,0.046620046620046623
TNF_NFkB,VE vs MS,0.8679436010572636,0.01998001998001998,5,9,0.046620046620046623
IL1_IL6,VE vs MS,0.36107928413273616,0.07992007992007992,5,9,0.1118881118881119
TGF_remodeling,VE vs MS,0.7582952298797629,0.014985014985014986,5,9,0.046620046620046623
Myeloid_proteolytic,VE vs MS,0.4518700842366032,0.6628371628371629,5,9,0.6628371628371629
Chemokine,VE vs MS,0.5248445350362332,0.047452547452547456,5,9,0.08304195804195805
VEGF_angiogenic,VE vs MS,0.10951279413304897,0.45054945054945056,5,9,0.5256410256410257
