dataset,module,contrast,effect_reconstructed,effect_frozen,direction_concordant
GSE163005,IFN_antiviral,MS vs IIH,-0.055604614054431,0.0801706705125561,False
GSE163005,TNF_NFkB,MS vs IIH,-0.017631980511131,0.4191847741256183,False
GSE163005,IL1_IL6,MS vs IIH,-0.0016163816475309,-0.5026660266319722,True
GSE163005,TGF_remodeling,MS vs IIH,0.1856620389825731,-0.3749530861079809,False
GSE163005,Myeloid_proteolytic,MS vs IIH,-0.7302033525104537,-0.4303060284695747,True
GSE163005,Chemokine,MS vs IIH,-0.4653158155695441,-0.3460701803624396,True
GSE163005,VEGF_angiogenic,MS vs IIH,-0.3942022675047715,-0.5780505977528954,True
GSE163005,IFN_antiviral,VE vs IIH,1.3329926255286146,1.1341845119647511,True
GSE163005,TNF_NFkB,VE vs IIH,0.8503116205461325,0.7386860347499384,True
GSE163005,IL1_IL6,VE vs IIH,0.3594629024852052,0.1997961827993367,True
GSE163005,TGF_remodeling,VE vs IIH,0.943957268862336,0.2059054647976645,True
GSE163005,Myeloid_proteolytic,VE vs IIH,-0.2783332682738504,-0.2558065390181089,True
GSE163005,Chemokine,VE vs IIH,0.0595287194666889,0.142767726748003,True
GSE163005,VEGF_angiogenic,VE vs IIH,-0.2846894733717225,-0.4306875742881417,True
GSE163005,IFN_antiviral,VE vs MS,1.3885972395830457,1.0540138414521951,True
GSE163005,TNF_NFkB,VE vs MS,0.8679436010572636,0.3195012606243201,True
GSE163005,IL1_IL6,VE vs MS,0.3610792841327361,0.702462209431309,True
GSE163005,TGF_remodeling,VE vs MS,0.7582952298797629,0.5808585509056454,True
GSE163005,Myeloid_proteolytic,VE vs MS,0.4518700842366032,0.1744994894514657,True
GSE163005,Chemokine,VE vs MS,0.5248445350362332,0.4888379071104426,True
GSE163005,VEGF_angiogenic,VE vs MS,0.1095127941330489,0.1473630234647535,True
GSE163194,IFN_antiviral,Acute_vs_All_recovery,0.6976011944500992,1.2366805390240407,True
GSE163194,TNF_NFkB,Acute_vs_All_recovery,0.5026671749810746,0.7260544928116386,True
GSE163194,IL1_IL6,Acute_vs_All_recovery,1.1967307688782771,2.0416147358686096,True
GSE163194,TGF_remodeling,Acute_vs_All_recovery,-1.0320074966207922,0.2571527529928013,False
GSE163194,Myeloid_proteolytic,Acute_vs_All_recovery,1.0056499557142018,1.4153168621478147,True
GSE163194,Chemokine,Acute_vs_All_recovery,1.0418654138408852,0.8572971667259403,True
GSE163194,VEGF_angiogenic,Acute_vs_All_recovery,0.1181874841961551,0.2810131285328507,True
