Gene,Stage,log2FC,p,FDR
Mfsd2a,Acute,-0.7788990148382826,0.015364057163540803,0.40635885273943106
Cav1,Acute,-0.9007216126201508,0.0023911862130375936,0.40635885273943106
Cav2,Acute,-0.608466270953069,0.031053560095360196,0.43113104993197526
Ptrf,Acute,-0.4348442709714086,0.09521015968145266,0.49471345656751403
Sdpr,Acute,-0.9160266154917397,0.06882485844938631,0.47494136653813757
Ehd2,Acute,-0.09460378027737329,0.5295184359437421,0.8145575028643619
Cldn5,Acute,0.03618783645455079,0.7873847850850895,0.9262810669114614
Ocln,Acute,-0.2321441002203393,0.35800985893423437,0.7231834969366875
Tjp1,Acute,-0.16727921703047718,0.5129519540659652,0.8059562573734741
Slc2a1,Acute,-0.20146428696971552,0.23795200595121568,0.6412080080287013
Abcb1a,Acute,-0.4933558119074061,0.1720417513248332,0.5777169162991073
Abcg2,Acute,-0.5098046243648581,0.040565789215528614,0.442431509219825
Lsr,Acute,0.032508620289741184,0.9711041248637219,0.9903569784568024
Reck,Acute,-0.683436502614205,0.08791668639470905,0.4921342071616531
Apcdd1,Acute,-0.10503774034462933,0.6751447218328442,0.8791468515836907
Vcam1,Acute,0.970342218355977,0.005356179649403866,0.40635885273943106
Icam1,Acute,0.30375104462722813,0.1579202060919422,0.5597164037378132
Sele,Acute,3.2359924021993947,0.02397557587411557,0.42311974316473405
Selp,Acute,4.683342124740364,0.004163280281701209,0.40635885273943106
Ccl2,Acute,1.9043574153628184,0.21229388975769103,0.6219736020456766
Cxcl9,Acute,7.366511538900155,0.008280677450946987,0.40635885273943106
Cxcl10,Acute,3.5855894521124814,0.059372267579090095,0.47221721997665944
Stat1,Acute,0.5900280459731722,0.2204770929532442,0.6294846206051018
Irf1,Acute,0.2537710020367574,0.47042232928735495,0.7872118285419716
Ifitm3,Acute,1.232664943401135,0.036063236833309434,0.43508894139521165
Angpt2,Acute,0.8098608118643555,0.007368957376893523,0.40635885273943106
Kdr,Acute,-0.49229824485107543,0.2694274254236996,0.6662265424745247
Flt1,Acute,-0.2753500569991125,0.37830158606750736,0.7343013998738201
Esm1,Acute,2.2540405227008287,0.405100876374733,0.7500217050899459
Angptl4,Acute,0.8903059403645718,0.0034994298016111087,0.40635885273943106
Tek,Acute,-0.1658241343518605,0.4754210627711229,0.7877027297617091
Axin2,Acute,-0.5345506107802331,0.30815796639465,0.6936235038844271
Lef1,Acute,-0.13992201527006942,0.619176735913034,0.8584500118856073
Tcf7l2,Acute,0.2211097870897242,0.8088232217168755,0.9329691922103376
Mfsd2a,Subacute,-1.2938804160950639,0.003077311067568205,0.059813405611084745
Cav1,Subacute,-0.10170966842956206,0.009722480636286161,0.08216923812672496
Cav2,Subacute,-0.7450169051615282,0.05112051980769558,0.1725486455937771
