threshold,value,contrast,module,n_x,n_y,median_x,median_y,delta_median,cliffs_delta,p_exact,FDR_BH
q20,module_z,MS_lesion_vs_NAWM,Adhesion_trafficking,9,3,0.1238598679121804,-0.4134925963937457,0.5373524643059261,0.7037037037037037,0.09999999999999999,0.36666666666666664
q20,module_z,MS_lesion_vs_NAWM,BBB_transport_identity,9,3,0.3131765912538722,-0.4531338910533509,0.7663104823072231,0.18518518518518517,0.7272727272727273,0.8888888888888888
q20,module_z,MS_lesion_vs_NAWM,Caveolae_structural,9,3,0.408902485650746,-0.7943811207911838,1.2032836064419299,0.5555555555555556,0.20909090909090908,0.45999999999999996
q20,module_z,MS_lesion_vs_NAWM,ECM_protease,9,3,0.24983469460530688,-0.5324352807156139,0.7822699753209208,0.7777777777777778,0.06363636363636363,0.35
q20,module_z,MS_lesion_vs_NAWM,IFN_antigen_presentation,9,3,-0.14023992755811385,-0.22599233489983547,0.08575240734172163,0.25925925925925924,0.6,0.825
q20,module_z,MS_lesion_vs_NAWM,PLVAP_permeability,9,3,0.049319213925856975,0.0349470778459548,0.014372136079902176,0.037037037037037035,1.0,1.0
q20,module_z,MS_lesion_vs_NAWM,ROS_Src,9,3,0.16731302004345933,-0.341083745585452,0.5083967656289113,0.6296296296296297,0.14545454545454545,0.39999999999999997
q20,module_z,MS_lesion_vs_NAWM,TGF_response,9,3,0.35179414575421164,-0.4529223470589224,0.8047164928131341,0.7777777777777778,0.06363636363636363,0.35
q20,module_z,MS_lesion_vs_NAWM,Tight_junction,9,3,-0.019990327939530286,-0.08336114694253902,0.06337081900300873,0.037037037037037035,1.0,1.0
q20,module_z,MS_lesion_vs_NAWM,VEGF_response,9,3,0.12412978766281606,-0.4866287096267681,0.6107584972895841,0.4074074074074074,0.3727272727272727,0.6833333333333333
q20,module_z,MS_lesion_vs_NAWM,Wnt_BBB,9,3,0.24649441517667348,-0.49371890448789796,0.7402133196645715,0.3333333333333333,0.48181818181818176,0.757142857142857
q20,module_z,Active_vs_NAWM,Adhesion_trafficking,3,3,0.7129409615766571,-0.4134925963937457,1.1264335579704028,0.7777777777777778,0.2,0.31428571428571433
q20,module_z,Active_vs_NAWM,BBB_transport_identity,3,3,-0.4618497714185388,-0.4531338910533509,-0.008715880365187889,-0.3333333333333333,0.7,0.77
q20,module_z,Active_vs_NAWM,Caveolae_structural,3,3,0.408902485650746,-0.7943811207911838,1.2032836064419299,0.7777777777777778,0.2,0.31428571428571433
q20,module_z,Active_vs_NAWM,ECM_protease,3,3,0.6852732152896184,-0.5324352807156139,1.2177084960052322,1.0,0.1,0.31428571428571433
q20,module_z,Active_vs_NAWM,IFN_antigen_presentation,3,3,0.640862597149901,-0.22599233489983547,0.8668549320497365,0.7777777777777778,0.2,0.31428571428571433
