gene,mouse_pooled_g,mouse_se,mouse_ci_low,mouse_ci_high,mouse_tau2,mouse_I2,mouse_same_direction_3of3,human_hedges_g,human_var_g,human_ci_low,human_ci_high,human_n_case,human_n_control,source_human_log2FC,source_human_Wald_stat,source_human_p,source_human_FDR,state,prespecified_state_gene,same_direction_mouse_human,human_contrast,interpretation_boundary
ABCG2,-1.3007287050889071,0.577744316412243,-2.433107565256903,-0.16834984492091087,0.02735115104461228,2.619235543298735,True,0.10713917585708353,0.41738409185437514,-1.1591241171699898,1.3734024688841566,4,6,,,,,BBB_specialization,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
APCDD1,0.030383180944505237,0.48042749247787525,-0.9112547043121303,0.9720210662011407,0.0,0.0,False,0.7833625457266271,0.45502022154462307,-0.5387591139877215,2.105484205440976,4,6,,,,,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AXIN2,-1.8550747378135586,0.8476989484502184,-3.5165646767759866,-0.19358479885113056,0.8872834154674315,40.78618517783747,True,-0.7245822941601243,0.4494803854798135,-2.038630941988374,0.5894663536681253,4,6,,,,,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
CLDN5,-0.6940819965020768,0.5180802557235156,-1.7095192977201672,0.3213553047160136,0.0,0.0,False,0.22265430864890687,0.4197651004891619,-1.0472156099014793,1.492524227199293,4,6,,,,,BBB_specialization,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
LEF1,-1.4066848706341002,0.7781049913292868,-2.9317706536395023,0.1184009123713019,0.6802771241051868,37.149713034742156,True,1.2089030338420255,0.508007075743695,-0.18807942208824802,2.605885489772299,4,6,0.641020513366361,3.70069457797041,0.000215010138559,0.0052994709674508,BBB_specialization,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
LSR,-0.05715442762474706,0.48619233898020087,-1.0100914120259408,0.8957825567764466,0.0,0.0,False,-0.19487070782665253,0.4190400787147205,-1.4636434874804682,1.0739020718271632,4,6,,,,,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
MFSD2A,-2.7918890808372003,0.9181763923422062,-4.591514809827924,-0.9922633518464763,0.7073749651152039,27.465643139376684,True,-1.0889470982936966,0.490779528096808,-2.462038003928388,0.284143807340995,4,6,-1.40146753975994,-4.15909090662303,3.19516726031648e-05,0.0013582803081512,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
OCLN,-0.9280960063752616,0.5129123951895662,-1.9334043009468114,0.07721228819628811,0.0,0.0,True,-0.5079813906971052,0.432794484997577,-1.7974088968279043,0.7814461154336937,4,6,-0.791248696734863,-2.83460435241317,0.0045882470320738,0.0410718853267577,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
RECK,-1.2643454086437753,0.547224110166904,-2.3369046645709073,-0.19178615271664357,0.0,0.0,True,-0.11594073874719463,0.4175068075979945,-1.3823901661103466,1.1505086886159572,4,6,,,,,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
SLC2A1,0.39873880499149994,0.797503100793412,-1.1643672725635876,1.9618448825465875,1.0556720955565415,55.330781351925026,False,-0.12437807123035495,0.41763353570435313,-1.3910196901430778,1.1422635476823677,4,6,,,,,BBB_specialization,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
TCF7L2,0.24851329515953793,0.4802857434140686,-0.6928467619320365,1.1898733522511125,0.0,0.0,True,-0.3456861034051475,0.42413534679713133,-1.6221493219335388,0.9307771151232438,4,6,,,,,BBB_specialization,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
TJP1,-0.3332508464015845,0.49201248281610344,-1.2975953127211473,0.6310936199179782,0.0,0.0,False,-0.1798520475403503,0.4186883391044452,-1.448092215451632,1.0883881203709316,4,6,,,,,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
