dataset,sample_id,group,raw_barcodes,barcodes_after_qc,endothelial_cells,selection_rule,total_UMI,orig.ident,condition,cell_types,cells,total_count,tissue,donor,nuclei_total,nuclei_qc,endothelial_nuclei,median_UMI_selected,spots_under_tissue,spots_after_qc,EC_rich_spots_q30,EC_score_cutoff
GSE210776,DS001,CFA,6794880.0,4086.0,3902.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,27348914.0,,,,,,,,,,,,,,,
GSE210776,DS002,Acute,6794880.0,4116.0,2595.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,24166608.0,,,,,,,,,,,,,,,
GSE210776,DS003,Chronic,6794880.0,8422.0,6041.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,28531757.0,,,,,,,,,,,,,,,
GSE210776,DS004,CFA,6794880.0,5757.0,5288.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,30532976.0,,,,,,,,,,,,,,,
GSE210776,DS005,Acute,6794880.0,9168.0,6274.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,33048476.0,,,,,,,,,,,,,,,
GSE210776,DS006,Chronic,6794880.0,4978.0,3200.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,25468965.0,,,,,,,,,,,,,,,
GSE210776,DS007,Healthy,6794880.0,5456.0,5166.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,31503681.0,,,,,,,,,,,,,,,
GSE210776,DS008,Healthy,6794880.0,3697.0,3538.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,21765497.0,,,,,,,,,,,,,,,
GSE210776,DS009,Chronic,6794880.0,5681.0,5237.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,40213671.0,,,,,,,,,,,,,,,
GSE210776,DS010,Chronic,6794880.0,5744.0,4958.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,45163623.0,,,,,,,,,,,,,,,
GSE210776,DS011,Acute,6794880.0,4519.0,2415.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,23148268.0,,,,,,,,,,,,,,,
GSE210776,DS012,Acute,6794880.0,4054.0,2310.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,20312829.0,,,,,,,,,,,,,,,
GSE210776,DS013,Healthy,6794880.0,5750.0,5504.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,32612339.0,,,,,,,,,,,,,,,
GSE210776,DS014,CFA,6794880.0,4989.0,4425.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,29257242.0,,,,,,,,,,,,,,,
GSE210776,BEVAC001,Bevacizumab,6794880.0,6206.0,5477.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,50109182.0,,,,,,,,,,,,,,,
GSE210776,BEVAC002,Bevacizumab,6794880.0,6956.0,6327.0,UMI>=300;genes>=150;EC_hits>=2;EC_score>contaminant,55337889.0,,,,,,,,,,,,,,,
