donor,gene,log_CPM_difference_Vas_Imm_minus_DMWM
ms11r1,B2M,-0.9662158965850631
ms1r1,B2M,-0.16542197651800095
ms1r2,B2M,0.16412288929252306
ms4r2,B2M,-0.09289919312244788
ms6r0,B2M,0.031123301909054213
ms11r1,CCL2,2.7710774177299906
ms1r1,CCL2,1.5552044023850122
ms1r2,CCL2,-0.2255799675787058
ms4r2,CCL2,1.1870492743868324
ms6r0,CCL2,-4.788462071302877
ms11r1,CLDN5,-0.3977120403779999
ms1r1,CLDN5,0.10390285373883934
ms1r2,CLDN5,-0.09156469685998658
ms4r2,CLDN5,-1.219167680407125
ms6r0,CLDN5,-0.17566263598926746
ms11r1,CXCL10,-0.4393156831365692
ms1r1,CXCL10,-0.12592740714982575
ms1r2,CXCL10,-1.0622857973138444
ms4r2,CXCL10,-0.7808317498253023
ms6r0,CXCL10,0.06737618419104674
ms11r1,CXCL9,0.0
ms1r1,CXCL9,-0.045615125841095505
ms1r2,CXCL9,-3.0237056229173973
ms4r2,CXCL9,4.785471315427587
ms6r0,CXCL9,0.0
ms11r1,HLA-DRA,0.9715455486268203
ms1r1,HLA-DRA,0.09361717238011025
ms1r2,HLA-DRA,0.6711633203346343
ms4r2,HLA-DRA,0.19453956174757359
ms6r0,HLA-DRA,0.8280693105493233
ms11r1,HLA-DRB1,0.30678329031463125
ms1r1,HLA-DRB1,0.21619865835656782
ms1r2,HLA-DRB1,-0.20017189499471044
ms4r2,HLA-DRB1,0.07996784708113402
ms6r0,HLA-DRB1,-0.8389204633125864
ms11r1,ICAM1,1.7187108173041548
ms1r1,ICAM1,0.3040163678733574
ms1r2,ICAM1,0.04678621893509405
ms4r2,ICAM1,0.629921053341949
ms6r0,ICAM1,-1.4643661043217246
ms11r1,IFIT1,-7.144847800157167
ms1r1,IFIT1,-0.14136103794373156
ms1r2,IFIT1,0.03570089512867991
ms4r2,IFIT1,-0.9380897957063912
ms6r0,IFIT1,-6.132202841947967
ms11r1,IRF1,0.9681784682738224
ms1r1,IRF1,0.9540242214713155
ms1r2,IRF1,0.35005877241828376
ms4r2,IRF1,-0.3590398383060487
ms6r0,IRF1,-1.3326274561504725
ms11r1,ISG15,-1.0350436572407213
ms1r1,ISG15,0.3723543365306563
ms1r2,ISG15,-1.3826216108139633
ms4r2,ISG15,0.1549401491345046
ms6r0,ISG15,-0.9357950362368737
ms11r1,STAT1,-1.633906783970092
ms1r1,STAT1,-0.06783067506103357
ms1r2,STAT1,-0.01117034598682487
ms4r2,STAT1,-0.20545794228229397
ms6r0,STAT1,-1.2573772201865605
ms11r1,STAT3,-0.42841936733706376
ms1r1,STAT3,0.03557182935273673
ms1r2,STAT3,0.13446722247774368
ms4r2,STAT3,0.39204821458460337
ms6r0,STAT3,-0.15710040958778748
ms11r1,VCAM1,1.3394511895643468
ms1r1,VCAM1,0.9828731752672706
ms1r2,VCAM1,0.8433761720113022
ms4r2,VCAM1,-0.20204137244524567
ms6r0,VCAM1,0.75857023633883
