source,endpoint,group,mouse,n_fields,mouse_mean
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,IgG,Mouse 1,9,48.800669858
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,IgG,Mouse 2,8,25.620351674
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,IgG,Mouse 3,7,22.308877645999996
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,IgG,Mouse 4,5,76.129044984
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,IgG,Mouse 5,9,92.17904306111112
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,IgG,Mouse 6,7,16.731658235142856
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,IgG,Mouse 7,7,2.7886097062857145
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,IgG,Mouse 8,7,6.971524264285714
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,IgG,Mouse 9,7,4.182914559428572
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,r84,Mouse 1,5,1.9520267944
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,r84,Mouse 2,5,1.9520267944
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,r84,Mouse 3,9,6.506755981111111
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,r84,Mouse 4,5,5.8560803824
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,r84,Mouse 5,5,1.9520267944
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,r84,Mouse 6,7,12.548743676285714
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,r84,Mouse 7,7,0.0
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,r84,Mouse 8,9,1.0844593302222223
"Shahriar et al. 2024, Figure 7",Venous endothelial proliferation,r84,Mouse 9,8,2.440033493
"Shahriar et al. 2024, Figure 7",Venous coverage,IgG,Mouse 1,9,52.4922423211723
"Shahriar et al. 2024, Figure 7",Venous coverage,IgG,Mouse 2,8,38.01555837141248
"Shahriar et al. 2024, Figure 7",Venous coverage,IgG,Mouse 3,7,34.537218339296174
"Shahriar et al. 2024, Figure 7",Venous coverage,IgG,Mouse 4,5,31.864612998557003
"Shahriar et al. 2024, Figure 7",Venous coverage,IgG,Mouse 5,9,35.825033315986225
"Shahriar et al. 2024, Figure 7",Venous coverage,IgG,Mouse 6,7,37.68102518268169
"Shahriar et al. 2024, Figure 7",Venous coverage,IgG,Mouse 7,7,39.60041331299232
"Shahriar et al. 2024, Figure 7",Venous coverage,IgG,Mouse 8,7,36.86046729799745
"Shahriar et al. 2024, Figure 7",Venous coverage,IgG,Mouse 9,7,33.54243741297497
"Shahriar et al. 2024, Figure 7",Venous coverage,r84,Mouse 1,5,18.09055699394451
"Shahriar et al. 2024, Figure 7",Venous coverage,r84,Mouse 2,5,27.629597196506175
"Shahriar et al. 2024, Figure 7",Venous coverage,r84,Mouse 3,9,22.8488046593196
"Shahriar et al. 2024, Figure 7",Venous coverage,r84,Mouse 4,5,17.073580787068053
"Shahriar et al. 2024, Figure 7",Venous coverage,r84,Mouse 5,5,21.1896359584605
"Shahriar et al. 2024, Figure 7",Venous coverage,r84,Mouse 6,7,11.318824418093929
"Shahriar et al. 2024, Figure 7",Venous coverage,r84,Mouse 7,7,22.542175190533072
"Shahriar et al. 2024, Figure 7",Venous coverage,r84,Mouse 8,9,21.199806055572164
"Shahriar et al. 2024, Figure 7",Venous coverage,r84,Mouse 9,8,34.441919134441775
"Shahriar et al. 2024, Figure 7",Endomucin coverage,IgG,Mouse 1,9,3.174444444444444
"Shahriar et al. 2024, Figure 7",Endomucin coverage,IgG,Mouse 2,8,3.46
"Shahriar et al. 2024, Figure 7",Endomucin coverage,IgG,Mouse 3,7,1.827142857142857
"Shahriar et al. 2024, Figure 7",Endomucin coverage,IgG,Mouse 4,5,1.5059999999999998
"Shahriar et al. 2024, Figure 7",Endomucin coverage,IgG,Mouse 5,9,5.045555555555556
"Shahriar et al. 2024, Figure 7",Endomucin coverage,IgG,Mouse 6,7,1.5557142857142858
"Shahriar et al. 2024, Figure 7",Endomucin coverage,IgG,Mouse 7,7,2.2471428571428573
"Shahriar et al. 2024, Figure 7",Endomucin coverage,IgG,Mouse 8,7,1.544285714285714
"Shahriar et al. 2024, Figure 7",Endomucin coverage,IgG,Mouse 9,7,1.7400000000000002
"Shahriar et al. 2024, Figure 7",Endomucin coverage,r84,Mouse 1,5,0.632
"Shahriar et al. 2024, Figure 7",Endomucin coverage,r84,Mouse 2,5,0.742
"Shahriar et al. 2024, Figure 7",Endomucin coverage,r84,Mouse 3,9,0.87
"Shahriar et al. 2024, Figure 7",Endomucin coverage,r84,Mouse 4,5,0.5640000000000001
"Shahriar et al. 2024, Figure 7",Endomucin coverage,r84,Mouse 5,5,0.7040000000000001
"Shahriar et al. 2024, Figure 7",Endomucin coverage,r84,Mouse 6,7,1.0328571428571427
"Shahriar et al. 2024, Figure 7",Endomucin coverage,r84,Mouse 7,7,0.5042857142857143
"Shahriar et al. 2024, Figure 7",Endomucin coverage,r84,Mouse 8,9,0.9188888888888889
"Shahriar et al. 2024, Figure 7",Endomucin coverage,r84,Mouse 9,8,0.9012500000000001
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 1,3,0.14700000000000002
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 2,4,1.9118025000000003
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 3,3,1.1703999999999999
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 4,4,1.610125
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 5,3,6.8653
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 6,4,3.206875
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 7,3,0.7521666666666667
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 8,4,2.10655
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 9,3,2.2388999999999997
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 1,5,2.7431999999999994
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 2,4,0.356575
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 3,3,0.7039666666666667
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 4,4,0.271625
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 5,3,3.9789
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 6,3,0.28413333333333335
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 7,3,0.4137666666666666
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 8,3,1.0094333333333334
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 9,3,3.206566666666667
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 1,9,34.74777777777777
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 2,8,26.29875
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 3,7,28.324285714285715
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 4,5,25.377999999999997
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 5,9,40.922222222222224
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 6,7,18.75
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 7,7,18.87
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 8,7,29.42428571428572
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 9,7,25.412857142857142
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 1,5,19.559999999999995
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 2,5,22.856
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 3,9,21.754444444444445
