module,contrast,delta_median,p_exact,n1,n2,FDR_BH
IFN_antiviral,MS vs IIH,0.08017067051255619,1.0,9,9,1.0
IFN_antiviral,VE vs IIH,1.1341845119647513,0.007492507492507493,5,9,0.05244755244755245
IFN_antiviral,VE vs MS,1.0540138414521951,0.007492507492507493,5,9,0.05244755244755245
TNF_NFkB,MS vs IIH,0.4191847741256183,0.4097079391197038,9,9,0.5735911147675854
TNF_NFkB,VE vs IIH,0.7386860347499384,0.014985014985014986,5,9,0.05244755244755245
TNF_NFkB,VE vs MS,0.31950126062432016,0.33816183816183815,5,9,0.3945221445221445
IL1_IL6,MS vs IIH,-0.5026660266319722,0.637186343068696,9,9,0.7433840669134787
IL1_IL6,VE vs IIH,0.19979618279933678,1.0,5,9,1.0
IL1_IL6,VE vs MS,0.702462209431309,0.14335664335664336,5,9,0.2508741258741259
TGF_remodeling,MS vs IIH,-0.37495308610798095,0.37515425750719866,9,9,0.5735911147675854
TGF_remodeling,VE vs IIH,0.20590546479766453,0.26323676323676326,5,9,0.441958041958042
TGF_remodeling,VE vs MS,0.5808585509056454,0.1008991008991009,5,9,0.23543123543123542
Myeloid_proteolytic,MS vs IIH,-0.4303060284695747,0.07795146030440148,9,9,0.1818867407102701
Myeloid_proteolytic,VE vs IIH,-0.25580653901810896,0.3156843156843157,5,9,0.441958041958042
Myeloid_proteolytic,VE vs MS,0.17449948945146576,0.2857142857142857,5,9,0.3945221445221445
Chemokine,MS vs IIH,-0.34607018036243964,0.04709995886466475,9,9,0.16484985602632662
Chemokine,VE vs IIH,0.14276772674800306,0.498001998001998,5,9,0.581002331002331
Chemokine,VE vs MS,0.48883790711044267,0.01998001998001998,5,9,0.06993006993006994
VEGF_angiogenic,MS vs IIH,-0.5780505977528954,0.04586589880707528,9,9,0.16484985602632662
VEGF_angiogenic,VE vs IIH,-0.43068757428814175,0.2857142857142857,5,9,0.441958041958042
VEGF_angiogenic,VE vs MS,0.14736302346475355,0.6628371628371629,5,9,0.6628371628371629
