module,comparison,standardized_effect,p_value,FDR_BH,evidence
IFN_antiviral,MS vs IIH,0.0801706705125561,1.0,1.0,directional
IFN_antiviral,VE vs IIH,1.1341845119647511,0.0074925074925074,0.0524475524475524,nominal
IFN_antiviral,BM acute vs recovery,1.2366805390240407,0.0503496503496503,0.0704895104895104,directional
TNF_NFkB,MS vs IIH,0.4191847741256183,0.4097079391197038,0.5735911147675854,directional
TNF_NFkB,VE vs IIH,0.7386860347499384,0.0149850149850149,0.0524475524475524,nominal
TNF_NFkB,BM acute vs recovery,0.7260544928116386,0.0503496503496503,0.0704895104895104,directional
IL1_IL6,MS vs IIH,-0.5026660266319722,0.637186343068696,0.7433840669134787,directional
IL1_IL6,VE vs IIH,0.1997961827993367,1.0,1.0,directional
IL1_IL6,BM acute vs recovery,2.0416147358686096,0.0027972027972027,0.0097902097902097,FDR<0.05
TGF_remodeling,MS vs IIH,-0.3749530861079809,0.3751542575071986,0.5735911147675854,directional
TGF_remodeling,VE vs IIH,0.2059054647976645,0.2632367632367632,0.441958041958042,directional
TGF_remodeling,BM acute vs recovery,0.2571527529928013,0.1062937062937063,0.124009324009324,directional
Myeloid_proteolytic,MS vs IIH,-0.4303060284695747,0.0779514603044014,0.1818867407102701,directional
Myeloid_proteolytic,VE vs IIH,-0.2558065390181089,0.3156843156843157,0.441958041958042,directional
Myeloid_proteolytic,BM acute vs recovery,1.4153168621478147,0.0195804195804195,0.0456876456876456,FDR<0.05
Chemokine,MS vs IIH,-0.3460701803624396,0.0470999588646647,0.1648498560263266,nominal
Chemokine,VE vs IIH,0.142767726748003,0.498001998001998,0.581002331002331,directional
Chemokine,BM acute vs recovery,0.8572971667259403,0.0027972027972027,0.0097902097902097,FDR<0.05
VEGF_angiogenic,MS vs IIH,-0.5780505977528954,0.0458658988070752,0.1648498560263266,nominal
VEGF_angiogenic,VE vs IIH,-0.4306875742881417,0.2857142857142857,0.441958041958042,directional
VEGF_angiogenic,BM acute vs recovery,0.2810131285328507,0.6041958041958042,0.6041958041958042,directional
