dataset,tissue,donor,group,nuclei_total,nuclei_qc,endothelial_nuclei,selection_rule,median_UMI_selected
GSE279183,CO37,CO37,Control,9016,9016,35,EC_hits>=2_and_EC_score>contaminant,7360.0
GSE279183,CO40,CO40,Control,8490,8490,29,EC_hits>=2_and_EC_score>contaminant,3247.0
GSE279183,CO41,CO41,Control,3617,3617,118,EC_hits>=2_and_EC_score>contaminant,3206.5
GSE279183,CO45,CO45,Control,8017,8017,303,EC_hits>=2_and_EC_score>contaminant,6129.0
GSE279183,CO74,CO74,Control,3505,3505,35,EC_hits>=2_and_EC_score>contaminant,2990.0
GSE279183,CO85,CO85,Control,3649,3649,40,EC_hits>=2_and_EC_score>contaminant,2622.0
GSE279183,MS197D,MS197,Chronic_active,16262,16262,384,EC_hits>=2_and_EC_score>contaminant,7168.0
GSE279183,MS229,MS229,Chronic_active,6392,6391,172,EC_hits>=2_and_EC_score>contaminant,6103.0
GSE279183,MS377N,MS377,Chronic_active,8666,8666,179,EC_hits>=2_and_EC_score>contaminant,8045.0
GSE279183,MS377T,MS377,Chronic_active,9279,9279,202,EC_hits>=2_and_EC_score>contaminant,7818.5
GSE279183,MS377I,MS377,Chronic_active,9574,9573,333,EC_hits>=2_and_EC_score>contaminant,7678.0
GSE279183,MS411,MS411,Chronic_active,8886,8886,103,EC_hits>=2_and_EC_score>contaminant,4680.0
GSE279183,MS497I,MS497,Chronic_inactive,4897,4897,81,EC_hits>=2_and_EC_score>contaminant,12482.0
GSE279183,MS497T,MS497,Chronic_inactive,8942,8941,245,EC_hits>=2_and_EC_score>contaminant,5600.0
GSE279183,MS549H,MS549,Chronic_inactive,17849,17849,235,EC_hits>=2_and_EC_score>contaminant,4343.0
GSE279183,MS549T,MS549,Chronic_inactive,7077,7077,30,EC_hits>=2_and_EC_score>contaminant,10764.0
