comparison,estimate,range_low,range_high,genes,draws_attempted,draws_estimable
GSE199460__GSE210776,0.5138689161131582,0.18974195920050224,0.5806862629172961,6611,2000,1841
GSE199460__GSE95401,0.4391881070926891,0.13287433134304102,0.4420858777010094,6611,2000,1841
GSE199460__GSE279183,0.16365241863720253,0.025031240367161128,0.2031772640201072,6611,2000,1841
GSE199460__Macnair_All_EC,-0.037077814648573355,-0.13372892451597515,0.08541976759742753,6611,2000,1841
GSE210776__GSE95401,0.21450660547192088,-0.05732888201842944,0.3424437457276512,6611,2000,1841
GSE210776__GSE279183,0.08717200079628959,0.012330775979678006,0.11987328817505229,6611,2000,1841
GSE210776__Macnair_All_EC,0.015103218271419605,-0.045264794783411035,0.07172116869950373,6611,2000,1841
GSE95401__GSE279183,0.18998917168951895,0.012698054298098982,0.21971652922719104,6611,2000,1841
GSE95401__Macnair_All_EC,-0.06098955229732816,-0.09677482747156968,0.03571973793637741,6611,2000,1841
GSE279183__Macnair_All_EC,-0.002089854984173919,-0.13486438247239813,0.151575365685967,6611,2000,1841
mean_within_mouse,0.3891878762259227,0.1436239270920569,0.4283617124097898,6611,2000,1841
mean_mouse_human_first,0.14693786370767034,0.04532810346379223,0.15937347032103072,6611,2000,1841
mean_mouse_human_validation,-0.027654716224827302,-0.07293849714491056,0.04732807800350406,6611,2000,1841
mean_mouse_human_all,0.05964157374142153,0.007480925287246404,0.08794998651833807,6611,2000,1841
within_minus_all_cross,0.3295463024845012,0.11602752639580667,0.38302871800720306,6611,2000,1841
pooled_mouse__GSE279183,0.1897090512712057,0.06406588618783658,0.2108336239582676,6611,2000,1841
pooled_mouse__Macnair_All_EC,-0.031641354578648216,-0.0988903737410093,0.060460244377838986,6611,2000,1841
