matching,cohort_1,cohort_2,programs,direction_agreement,note
strict_6611,GSE199460,GSE210776,8,1.0,"descriptive across overlapping programs, not independent replication"
strict_6611,GSE199460,GSE95401,8,0.875,"descriptive across overlapping programs, not independent replication"
strict_6611,GSE199460,GSE279183,8,0.5,"descriptive across overlapping programs, not independent replication"
strict_6611,GSE199460,Macnair_All_EC,8,0.625,"descriptive across overlapping programs, not independent replication"
strict_6611,GSE210776,GSE95401,8,0.875,"descriptive across overlapping programs, not independent replication"
strict_6611,GSE210776,GSE279183,8,0.5,"descriptive across overlapping programs, not independent replication"
strict_6611,GSE210776,Macnair_All_EC,8,0.625,"descriptive across overlapping programs, not independent replication"
strict_6611,GSE95401,GSE279183,8,0.625,"descriptive across overlapping programs, not independent replication"
strict_6611,GSE95401,Macnair_All_EC,8,0.5,"descriptive across overlapping programs, not independent replication"
strict_6611,GSE279183,Macnair_All_EC,8,0.625,"descriptive across overlapping programs, not independent replication"
common_symbol_sensitivity,GSE199460,GSE210776,11,1.0,"descriptive across overlapping programs, not independent replication"
common_symbol_sensitivity,GSE199460,GSE95401,11,1.0,"descriptive across overlapping programs, not independent replication"
common_symbol_sensitivity,GSE199460,GSE279183,11,0.6363636363636364,"descriptive across overlapping programs, not independent replication"
common_symbol_sensitivity,GSE199460,Macnair_All_EC,11,0.5454545454545454,"descriptive across overlapping programs, not independent replication"
common_symbol_sensitivity,GSE210776,GSE95401,11,1.0,"descriptive across overlapping programs, not independent replication"
common_symbol_sensitivity,GSE210776,GSE279183,11,0.6363636363636364,"descriptive across overlapping programs, not independent replication"
common_symbol_sensitivity,GSE210776,Macnair_All_EC,11,0.5454545454545454,"descriptive across overlapping programs, not independent replication"
common_symbol_sensitivity,GSE95401,GSE279183,11,0.6363636363636364,"descriptive across overlapping programs, not independent replication"
common_symbol_sensitivity,GSE95401,Macnair_All_EC,11,0.5454545454545454,"descriptive across overlapping programs, not independent replication"
common_symbol_sensitivity,GSE279183,Macnair_All_EC,11,0.5454545454545454,"descriptive across overlapping programs, not independent replication"
