matching,cohort,program,genes,n_case,n_control,hedges_g,variance,exact_p,range_low,range_high,draws_attempted,draws_estimable,fdr_all_cohorts_and_programs,fdr_family_size
strict_6611,GSE199460,Tight_junction,3,2,3,-0.5747121462965662,0.8883823418501343,0.6,-6.018978256322332,2.6748730941726033,2000,1894,0.8275862068965517,40
strict_6611,GSE199460,PLVAP_permeability,3,2,3,0.941505996492895,0.9810722569053466,0.3,0.6082078978219244,43.093449985383145,2000,1894,0.5714285714285714,40
strict_6611,GSE199460,Adhesion_trafficking,3,2,3,2.8773031752165132,2.2131455936851716,0.1,2.8660799705892908,795.6589084359099,2000,1894,0.32634032634032634,40
strict_6611,GSE199460,Wnt_BBB,5,2,3,-0.7406651451959405,0.9247641428846873,0.4,-2.4995237870421265,0.40441914379651644,2000,1894,0.6666666666666666,40
strict_6611,GSE199460,TGF_response,4,2,3,-0.04888266925248759,0.8337315858922081,1.0,-1.7557565874559413,2.4972164877554555,2000,1894,1.0,40
strict_6611,GSE199460,VEGF_response,3,2,3,2.3198387380780847,1.73027529511462,0.2,1.6842391316053564,89.5450349171218,2000,1894,0.47058823529411764,40
strict_6611,GSE199460,ROS_Src,3,2,3,4.131084737953615,3.677643518692215,0.1,3.2449935430455956,16.283417198040514,2000,1894,0.32634032634032634,40
strict_6611,GSE199460,ECM_protease,3,2,3,0.9078101430194868,0.9706865426281769,0.3,-0.28433743980596904,43.46338506627357,2000,1894,0.5714285714285714,40
strict_6611,GSE210776,Tight_junction,3,4,3,-1.120046221376213,0.7087836871352466,0.17142857142857143,-4.218985493599111,-0.4039517807037092,2000,1996,0.4404761904761905,40
strict_6611,GSE210776,PLVAP_permeability,3,4,3,3.4594138283619102,1.7800877369194943,0.02857142857142857,2.836076681668207,13.096685514115224,2000,1996,0.26666666666666666,40
strict_6611,GSE210776,Adhesion_trafficking,3,4,3,1.6522167099206595,0.8563153389874383,0.08571428571428572,0.8556104254373783,6.353095089414388,2000,1996,0.32634032634032634,40
strict_6611,GSE210776,Wnt_BBB,5,4,3,-0.9713367349853831,0.6776828386065398,0.22857142857142856,-3.9483395356128246,-0.22385236616894902,2000,1996,0.5079365079365079,40
strict_6611,GSE210776,TGF_response,4,4,3,-0.1908549755475438,0.5869758955024588,0.7714285714285715,-3.9246137911184147,2.160751757527283,2000,1996,0.9142857142857143,40
strict_6611,GSE210776,VEGF_response,3,4,3,2.7725407344124546,1.3520315457309686,0.02857142857142857,2.3482996775210534,10.338342059936103,2000,1996,0.26666666666666666,40
strict_6611,GSE210776,ROS_Src,3,4,3,7.485819978159013,6.187083407873793,0.02857142857142857,6.362380887386414,19.890079928971037,2000,1996,0.26666666666666666,40
strict_6611,GSE210776,ECM_protease,3,4,3,1.247128672682082,0.7388663259559105,0.08571428571428572,0.8763730695987029,5.061876241730224,2000,1996,0.32634032634032634,40
strict_6611,GSE95401,Tight_junction,3,3,3,-0.2740082988054646,0.6760517351434497,0.9,-5.8994715335394075,2.411091291674426,2000,1967,0.9230769230769231,40
strict_6611,GSE95401,PLVAP_permeability,3,3,3,2.10367881194059,1.219849734642638,0.1,1.2031416891759434,15.535041151322272,2000,1967,0.32634032634032634,40
