matching,cohort,program,subject,group,score
strict_6611,GSE199460,Tight_junction,CTL1,Control,1.158740249208664
strict_6611,GSE199460,Tight_junction,CTL2,Control,-0.20766100427200826
strict_6611,GSE199460,Tight_junction,CTL3,Control,-0.2932308004607835
strict_6611,GSE199460,Tight_junction,EAE1,Acute,-0.5700253009415684
strict_6611,GSE199460,Tight_junction,EAE3,Acute,-0.08782314353430842
strict_6611,GSE199460,PLVAP_permeability,CTL1,Control,0.0638351043863854
strict_6611,GSE199460,PLVAP_permeability,CTL2,Control,-1.2208247741800966
strict_6611,GSE199460,PLVAP_permeability,CTL3,Control,0.09360920283848
strict_6611,GSE199460,PLVAP_permeability,EAE1,Acute,0.9054207839297753
strict_6611,GSE199460,PLVAP_permeability,EAE3,Acute,0.15795968302545535
strict_6611,GSE199460,Adhesion_trafficking,CTL1,Control,-0.6803703357018916
strict_6611,GSE199460,Adhesion_trafficking,CTL2,Control,-0.676089821092471
strict_6611,GSE199460,Adhesion_trafficking,CTL3,Control,-0.6604387352081722
strict_6611,GSE199460,Adhesion_trafficking,EAE1,Acute,0.48824762946341815
strict_6611,GSE199460,Adhesion_trafficking,EAE3,Acute,1.5286512625391167
strict_6611,GSE199460,Wnt_BBB,CTL1,Control,-0.45905136634321153
strict_6611,GSE199460,Wnt_BBB,CTL2,Control,0.16569542031468515
strict_6611,GSE199460,Wnt_BBB,CTL3,Control,1.218918562084883
strict_6611,GSE199460,Wnt_BBB,EAE1,Acute,-0.838529359812464
strict_6611,GSE199460,Wnt_BBB,EAE3,Acute,-0.08703325624389321
strict_6611,GSE199460,TGF_response,CTL1,Control,-0.7374124988975493
strict_6611,GSE199460,TGF_response,CTL2,Control,-0.09981784536209445
strict_6611,GSE199460,TGF_response,CTL3,Control,0.9022383125483828
strict_6611,GSE199460,TGF_response,EAE1,Acute,-0.5721688540686719
strict_6611,GSE199460,TGF_response,EAE3,Acute,0.5071608857799321
strict_6611,GSE199460,VEGF_response,CTL1,Control,-0.5873170301007168
strict_6611,GSE199460,VEGF_response,CTL2,Control,-0.783118296597705
strict_6611,GSE199460,VEGF_response,CTL3,Control,0.034914052594279286
strict_6611,GSE199460,VEGF_response,EAE1,Acute,0.6552761120613988
strict_6611,GSE199460,VEGF_response,EAE3,Acute,0.6802451620427439
strict_6611,GSE199460,ROS_Src,CTL1,Control,-0.32332674104541353
strict_6611,GSE199460,ROS_Src,CTL2,Control,-0.40340592046806883
strict_6611,GSE199460,ROS_Src,CTL3,Control,-0.12089921793969709
strict_6611,GSE199460,ROS_Src,EAE1,Acute,0.37914061965155493
strict_6611,GSE199460,ROS_Src,EAE3,Acute,0.4684912598016248
strict_6611,GSE199460,ECM_protease,CTL1,Control,-0.6097086712732981
strict_6611,GSE199460,ECM_protease,CTL2,Control,-0.6826653195754501
strict_6611,GSE199460,ECM_protease,CTL3,Control,0.1423277960834136
strict_6611,GSE199460,ECM_protease,EAE1,Acute,-0.24695299239197924
strict_6611,GSE199460,ECM_protease,EAE3,Acute,1.3969991871573135
strict_6611,GSE210776,Tight_junction,DS001,CFA,0.004171923187006608
strict_6611,GSE210776,Tight_junction,DS002,Acute,-1.1557592380446853
strict_6611,GSE210776,Tight_junction,DS004,CFA,0.007339241113065831
strict_6611,GSE210776,Tight_junction,DS005,Acute,-0.6256555245370866
strict_6611,GSE210776,Tight_junction,DS011,Acute,-0.10373407418647267
strict_6611,GSE210776,Tight_junction,DS012,Acute,0.11377818151975032
strict_6611,GSE210776,Tight_junction,DS014,CFA,1.7598594909483918
strict_6611,GSE210776,PLVAP_permeability,DS001,CFA,-0.657812460975797
strict_6611,GSE210776,PLVAP_permeability,DS002,Acute,0.6370761561453405
strict_6611,GSE210776,PLVAP_permeability,DS004,CFA,-0.6425567791112284
strict_6611,GSE210776,PLVAP_permeability,DS005,Acute,0.15864344288117307
strict_6611,GSE210776,PLVAP_permeability,DS011,Acute,0.28670091620646404
strict_6611,GSE210776,PLVAP_permeability,DS012,Acute,0.9948679781202241
strict_6611,GSE210776,PLVAP_permeability,DS014,CFA,-0.7769192532661732
strict_6611,GSE210776,Adhesion_trafficking,DS001,CFA,-1.627004392096332
strict_6611,GSE210776,Adhesion_trafficking,DS002,Acute,0.8897856313554788
strict_6611,GSE210776,Adhesion_trafficking,DS004,CFA,-0.18408291916211997
strict_6611,GSE210776,Adhesion_trafficking,DS005,Acute,-0.2876046669102796
strict_6611,GSE210776,Adhesion_trafficking,DS011,Acute,1.225214047178717
strict_6611,GSE210776,Adhesion_trafficking,DS012,Acute,0.5070635118970489
strict_6611,GSE210776,Adhesion_trafficking,DS014,CFA,-0.5233712122625107
strict_6611,GSE210776,Wnt_BBB,DS001,CFA,0.6897468928798856
strict_6611,GSE210776,Wnt_BBB,DS002,Acute,0.5042089106054652
strict_6611,GSE210776,Wnt_BBB,DS004,CFA,0.2795030271826424
strict_6611,GSE210776,Wnt_BBB,DS005,Acute,-1.364936901663278
strict_6611,GSE210776,Wnt_BBB,DS011,Acute,-0.21323237830628816
strict_6611,GSE210776,Wnt_BBB,DS012,Acute,-0.1538418801826281
strict_6611,GSE210776,Wnt_BBB,DS014,CFA,0.25855232948420453
strict_6611,GSE210776,TGF_response,DS001,CFA,0.17599874691171724
strict_6611,GSE210776,TGF_response,DS002,Acute,0.2339071297704033
strict_6611,GSE210776,TGF_response,DS004,CFA,-0.08285167301131299
strict_6611,GSE210776,TGF_response,DS005,Acute,0.25167880873079357
strict_6611,GSE210776,TGF_response,DS011,Acute,-0.34185023125443614
strict_6611,GSE210776,TGF_response,DS012,Acute,-0.24295493554995792
strict_6611,GSE210776,TGF_response,DS014,CFA,0.006072154402783414
strict_6611,GSE210776,VEGF_response,DS001,CFA,-0.45717201214558684
strict_6611,GSE210776,VEGF_response,DS002,Acute,0.49685731896051216
strict_6611,GSE210776,VEGF_response,DS004,CFA,-1.3236105300335375
strict_6611,GSE210776,VEGF_response,DS005,Acute,0.6355758503154304
strict_6611,GSE210776,VEGF_response,DS011,Acute,0.16615039329058465
strict_6611,GSE210776,VEGF_response,DS012,Acute,0.9899684594778725
strict_6611,GSE210776,VEGF_response,DS014,CFA,-0.5077694798652734
strict_6611,GSE210776,ROS_Src,DS001,CFA,-1.078745402863625
strict_6611,GSE210776,ROS_Src,DS002,Acute,0.7124052353849658
strict_6611,GSE210776,ROS_Src,DS004,CFA,-0.8150730316927413
strict_6611,GSE210776,ROS_Src,DS005,Acute,0.8384532019919116
strict_6611,GSE210776,ROS_Src,DS011,Acute,0.47224018960284225
strict_6611,GSE210776,ROS_Src,DS012,Acute,0.584282133309836
strict_6611,GSE210776,ROS_Src,DS014,CFA,-0.7135623257331853
strict_6611,GSE210776,ECM_protease,DS001,CFA,-1.0069577114011203
strict_6611,GSE210776,ECM_protease,DS002,Acute,-0.08437141279226974
strict_6611,GSE210776,ECM_protease,DS004,CFA,-0.2522026130519222
strict_6611,GSE210776,ECM_protease,DS005,Acute,1.8282315269188352
strict_6611,GSE210776,ECM_protease,DS011,Acute,-0.11533930353801009
strict_6611,GSE210776,ECM_protease,DS012,Acute,0.2770420395704017
strict_6611,GSE210776,ECM_protease,DS014,CFA,-0.6464025257059135
strict_6611,GSE95401,Tight_junction,EAE_Control1,Control,0.007536865242771917
strict_6611,GSE95401,Tight_junction,EAE_Control2,Control,-0.047835791191427925
strict_6611,GSE95401,Tight_junction,EAE_Control3,Control,0.34308852720682187
strict_6611,GSE95401,Tight_junction,EAE_Acute1,Acute,-1.0021089399444871
strict_6611,GSE95401,Tight_junction,EAE_Acute2,Acute,0.14758175994498712
strict_6611,GSE95401,Tight_junction,EAE_Acute3,Acute,0.5517375787413221
strict_6611,GSE95401,PLVAP_permeability,EAE_Control1,Control,-0.8950667351755158
strict_6611,GSE95401,PLVAP_permeability,EAE_Control2,Control,-0.9510566292505508
strict_6611,GSE95401,PLVAP_permeability,EAE_Control3,Control,-0.26222830708843775
strict_6611,GSE95401,PLVAP_permeability,EAE_Acute1,Acute,0.9418965944546708
strict_6611,GSE95401,PLVAP_permeability,EAE_Acute2,Acute,1.2014404640600322
strict_6611,GSE95401,PLVAP_permeability,EAE_Acute3,Acute,-0.034985387000205447
strict_6611,GSE95401,Adhesion_trafficking,EAE_Control1,Control,-0.8089474572520244
strict_6611,GSE95401,Adhesion_trafficking,EAE_Control2,Control,-1.2063119889507898
strict_6611,GSE95401,Adhesion_trafficking,EAE_Control3,Control,-0.5563813417023845
strict_6611,GSE95401,Adhesion_trafficking,EAE_Acute1,Acute,0.7707807047171409
strict_6611,GSE95401,Adhesion_trafficking,EAE_Acute2,Acute,1.2151907979671306
strict_6611,GSE95401,Adhesion_trafficking,EAE_Acute3,Acute,0.5856692852209293
strict_6611,GSE95401,Wnt_BBB,EAE_Control1,Control,0.35579031757881296
strict_6611,GSE95401,Wnt_BBB,EAE_Control2,Control,0.4876132877006597
strict_6611,GSE95401,Wnt_BBB,EAE_Control3,Control,0.11322600601159138
strict_6611,GSE95401,Wnt_BBB,EAE_Acute1,Acute,-1.772984431714074
strict_6611,GSE95401,Wnt_BBB,EAE_Acute2,Acute,0.1448416521226916
strict_6611,GSE95401,Wnt_BBB,EAE_Acute3,Acute,0.6715131683003239
strict_6611,GSE95401,TGF_response,EAE_Control1,Control,-0.008489255325061285
strict_6611,GSE95401,TGF_response,EAE_Control2,Control,-0.3697786597437445
strict_6611,GSE95401,TGF_response,EAE_Control3,Control,0.08726078474874027
strict_6611,GSE95401,TGF_response,EAE_Acute1,Acute,-0.9643978228047847
strict_6611,GSE95401,TGF_response,EAE_Acute2,Acute,0.7556727085143045
strict_6611,GSE95401,TGF_response,EAE_Acute3,Acute,0.499732244610551
strict_6611,GSE95401,VEGF_response,EAE_Control1,Control,-1.1568376069839121
strict_6611,GSE95401,VEGF_response,EAE_Control2,Control,-0.49758490269323086
strict_6611,GSE95401,VEGF_response,EAE_Control3,Control,-0.21118839654125088
strict_6611,GSE95401,VEGF_response,EAE_Acute1,Acute,1.1067486351773412
strict_6611,GSE95401,VEGF_response,EAE_Acute2,Acute,0.7087488244704061
strict_6611,GSE95401,VEGF_response,EAE_Acute3,Acute,0.0501134465706398
strict_6611,GSE95401,ROS_Src,EAE_Control1,Control,-0.27539336111790597
strict_6611,GSE95401,ROS_Src,EAE_Control2,Control,-0.1859740414555077
strict_6611,GSE95401,ROS_Src,EAE_Control3,Control,-0.408529492130478
strict_6611,GSE95401,ROS_Src,EAE_Acute1,Acute,-0.01763248793669388
strict_6611,GSE95401,ROS_Src,EAE_Acute2,Acute,1.5123045617080486
strict_6611,GSE95401,ROS_Src,EAE_Acute3,Acute,-0.6247751790674619
strict_6611,GSE95401,ECM_protease,EAE_Control1,Control,0.03130413463617088
strict_6611,GSE95401,ECM_protease,EAE_Control2,Control,0.42635753562271156
strict_6611,GSE95401,ECM_protease,EAE_Control3,Control,-0.7255463007418568
strict_6611,GSE95401,ECM_protease,EAE_Acute1,Acute,1.1847606754460884
strict_6611,GSE95401,ECM_protease,EAE_Acute2,Acute,-0.6541679951771182
strict_6611,GSE95401,ECM_protease,EAE_Acute3,Acute,-0.2627080497859962
strict_6611,GSE279183,Tight_junction,CO37,Control,0.24077165710389792
strict_6611,GSE279183,Tight_junction,CO40,Control,0.07401661506997519
strict_6611,GSE279183,Tight_junction,CO41,Control,1.0967905909317712
strict_6611,GSE279183,Tight_junction,CO45,Control,-2.1352535105487647
strict_6611,GSE279183,Tight_junction,CO74,Control,0.2665997432313007
strict_6611,GSE279183,Tight_junction,CO85,Control,0.8876606047474684
strict_6611,GSE279183,Tight_junction,MS197,Chronic_active,-0.042094982427245665
strict_6611,GSE279183,Tight_junction,MS229,Chronic_active,-0.4969284720960183
strict_6611,GSE279183,Tight_junction,MS377,Chronic_active,0.24289218670603785
strict_6611,GSE279183,Tight_junction,MS411,Chronic_active,-0.13445443271841814
strict_6611,GSE279183,PLVAP_permeability,CO37,Control,0.6432373795982244
strict_6611,GSE279183,PLVAP_permeability,CO40,Control,-1.2172004985600824
strict_6611,GSE279183,PLVAP_permeability,CO41,Control,0.18679879281179623
strict_6611,GSE279183,PLVAP_permeability,CO45,Control,-0.4360127037321952
strict_6611,GSE279183,PLVAP_permeability,CO74,Control,0.5315442826887863
strict_6611,GSE279183,PLVAP_permeability,CO85,Control,1.122254454056818
strict_6611,GSE279183,PLVAP_permeability,MS197,Chronic_active,-0.505295138393223
strict_6611,GSE279183,PLVAP_permeability,MS229,Chronic_active,0.10504047986904885
strict_6611,GSE279183,PLVAP_permeability,MS377,Chronic_active,-0.5759422698566216
strict_6611,GSE279183,PLVAP_permeability,MS411,Chronic_active,0.1455752215174481
strict_6611,GSE279183,Adhesion_trafficking,CO37,Control,-0.513936602247869
strict_6611,GSE279183,Adhesion_trafficking,CO40,Control,0.22475876705271283
strict_6611,GSE279183,Adhesion_trafficking,CO41,Control,0.8663965091532569
strict_6611,GSE279183,Adhesion_trafficking,CO45,Control,-0.45542219687044644
strict_6611,GSE279183,Adhesion_trafficking,CO74,Control,-0.4175066487464149
strict_6611,GSE279183,Adhesion_trafficking,CO85,Control,-0.13461046707206958
strict_6611,GSE279183,Adhesion_trafficking,MS197,Chronic_active,-0.3587626768672716
strict_6611,GSE279183,Adhesion_trafficking,MS229,Chronic_active,-0.6575588134252063
strict_6611,GSE279183,Adhesion_trafficking,MS377,Chronic_active,0.8165731297628458
strict_6611,GSE279183,Adhesion_trafficking,MS411,Chronic_active,0.6300689992604628
strict_6611,GSE279183,Wnt_BBB,CO37,Control,-0.03970827481082957
strict_6611,GSE279183,Wnt_BBB,CO40,Control,0.48598505939342224
strict_6611,GSE279183,Wnt_BBB,CO41,Control,0.7639106955687929
strict_6611,GSE279183,Wnt_BBB,CO45,Control,-1.7569516637809204
strict_6611,GSE279183,Wnt_BBB,CO74,Control,-0.023178037990576918
strict_6611,GSE279183,Wnt_BBB,CO85,Control,0.2513551700134061
strict_6611,GSE279183,Wnt_BBB,MS197,Chronic_active,0.03288041952502359
strict_6611,GSE279183,Wnt_BBB,MS229,Chronic_active,0.2971371265801251
strict_6611,GSE279183,Wnt_BBB,MS377,Chronic_active,-0.0017298715077768145
strict_6611,GSE279183,Wnt_BBB,MS411,Chronic_active,-0.00970062299065586
strict_6611,GSE279183,TGF_response,CO37,Control,0.5263346803174511
strict_6611,GSE279183,TGF_response,CO40,Control,0.2806303296533731
strict_6611,GSE279183,TGF_response,CO41,Control,-0.4237451884702904
strict_6611,GSE279183,TGF_response,CO45,Control,-1.498885118039376
strict_6611,GSE279183,TGF_response,CO74,Control,-0.3620974144821768
strict_6611,GSE279183,TGF_response,CO85,Control,0.11240957148305736
strict_6611,GSE279183,TGF_response,MS197,Chronic_active,-0.11338740991864676
strict_6611,GSE279183,TGF_response,MS229,Chronic_active,0.3686536443135554
strict_6611,GSE279183,TGF_response,MS377,Chronic_active,0.5769174816157627
strict_6611,GSE279183,TGF_response,MS411,Chronic_active,0.5331694235272879
strict_6611,GSE279183,VEGF_response,CO37,Control,0.33903935513410327
strict_6611,GSE279183,VEGF_response,CO40,Control,-0.7502413065791744
strict_6611,GSE279183,VEGF_response,CO41,Control,0.08309921785508197
strict_6611,GSE279183,VEGF_response,CO45,Control,-0.6241234443009989
strict_6611,GSE279183,VEGF_response,CO74,Control,1.033236362870982
strict_6611,GSE279183,VEGF_response,CO85,Control,0.7550307468761709
strict_6611,GSE279183,VEGF_response,MS197,Chronic_active,-0.2964486370127179
strict_6611,GSE279183,VEGF_response,MS229,Chronic_active,0.1574035743553124
strict_6611,GSE279183,VEGF_response,MS377,Chronic_active,-0.2881614507089573
strict_6611,GSE279183,VEGF_response,MS411,Chronic_active,-0.40883441848980445
strict_6611,GSE279183,ROS_Src,CO37,Control,-0.20676243154478322
strict_6611,GSE279183,ROS_Src,CO40,Control,-0.34938085601183455
strict_6611,GSE279183,ROS_Src,CO41,Control,0.35923714447474664
strict_6611,GSE279183,ROS_Src,CO45,Control,-1.3915489974101238
strict_6611,GSE279183,ROS_Src,CO74,Control,-0.6312151553387636
strict_6611,GSE279183,ROS_Src,CO85,Control,-0.5427758112697586
strict_6611,GSE279183,ROS_Src,MS197,Chronic_active,0.3897109006834749
strict_6611,GSE279183,ROS_Src,MS229,Chronic_active,0.9262421602420338
strict_6611,GSE279183,ROS_Src,MS377,Chronic_active,0.30640044259045757
strict_6611,GSE279183,ROS_Src,MS411,Chronic_active,1.1400926035845513
strict_6611,GSE279183,ECM_protease,CO37,Control,-0.08883887462968487
strict_6611,GSE279183,ECM_protease,CO40,Control,0.15092953427572794
strict_6611,GSE279183,ECM_protease,CO41,Control,0.1962154959484769
strict_6611,GSE279183,ECM_protease,CO45,Control,-0.9317415062516833
strict_6611,GSE279183,ECM_protease,CO74,Control,-0.8262358572236113
strict_6611,GSE279183,ECM_protease,CO85,Control,0.0782648161055058
strict_6611,GSE279183,ECM_protease,MS197,Chronic_active,-0.041807711216889254
strict_6611,GSE279183,ECM_protease,MS229,Chronic_active,0.9245492206559716
strict_6611,GSE279183,ECM_protease,MS377,Chronic_active,0.5040157963814035
strict_6611,GSE279183,ECM_protease,MS411,Chronic_active,0.034649085954788585
strict_6611,Macnair_All_EC,Tight_junction,Ind102,CAL,-0.7019153570023994
strict_6611,Macnair_All_EC,Tight_junction,Ind116,CAL,0.912415865142235
strict_6611,Macnair_All_EC,Tight_junction,Ind118,CAL,0.07793930891903773
strict_6611,Macnair_All_EC,Tight_junction,Ind120,CAL,-0.9635850066893205
strict_6611,Macnair_All_EC,Tight_junction,Ind124,CAL,-0.4771558032726808
strict_6611,Macnair_All_EC,Tight_junction,Ind127,CAL,-1.0272523799651696
strict_6611,Macnair_All_EC,Tight_junction,Ind130,CAL,-0.4994319836205825
strict_6611,Macnair_All_EC,Tight_junction,Ind144,WM,0.5288680559938314
strict_6611,Macnair_All_EC,Tight_junction,Ind145,WM,0.43506720006216854
strict_6611,Macnair_All_EC,Tight_junction,Ind86,WM,1.4043219081017646
strict_6611,Macnair_All_EC,Tight_junction,Ind98,WM,0.31072819233112753
strict_6611,Macnair_All_EC,PLVAP_permeability,Ind102,CAL,-1.1374593354389868
strict_6611,Macnair_All_EC,PLVAP_permeability,Ind116,CAL,-0.5150822013229536
strict_6611,Macnair_All_EC,PLVAP_permeability,Ind118,CAL,0.5378463079252783
strict_6611,Macnair_All_EC,PLVAP_permeability,Ind120,CAL,-0.6628262950117153
strict_6611,Macnair_All_EC,PLVAP_permeability,Ind124,CAL,-0.34017479129087574
strict_6611,Macnair_All_EC,PLVAP_permeability,Ind127,CAL,0.03567287461922897
strict_6611,Macnair_All_EC,PLVAP_permeability,Ind130,CAL,0.9584098353780742
strict_6611,Macnair_All_EC,PLVAP_permeability,Ind144,WM,0.7390931067371977
strict_6611,Macnair_All_EC,PLVAP_permeability,Ind145,WM,0.4799631107462344
