dataset,filename,relative_download_path,bytes,md5,url,analysis_role
GSE199460,GSE199460_cell_annotation.meta_data.cd31_selection.csv.gz,GSE199460/GSE199460_cell_annotation.meta_data.cd31_selection.csv.gz,2039571,6249df7846fd88aa1c070b0a2f9e6a98,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199460/suppl/GSE199460_cell_annotation.meta_data.cd31_selection.csv.gz,Reconstruction for the matched benchmark
GSE199460,GSE199460_normalized_expr.cd31_selection.sctransform.csv.gz,GSE199460/GSE199460_normalized_expr.cd31_selection.sctransform.csv.gz,58487839,4f2836b0355d248a931a83f05348f88a,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199460/suppl/GSE199460_normalized_expr.cd31_selection.sctransform.csv.gz,Reconstruction for the matched benchmark
GSE210776,GSM6437085_DS001_processed.tar.gz,GSE210776/GSM6437085_DS001_processed.tar.gz,69866351,b826e4bbe7c70070f851b80745a44c3d,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6437nnn/GSM6437085/suppl/GSM6437085_DS001_processed.tar.gz,Reconstruction for the matched benchmark
GSE210776,GSM6437086_DS002_processed.tar.gz,GSE210776/GSM6437086_DS002_processed.tar.gz,80430481,38a20d4bda40102f636337b91371e64f,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6437nnn/GSM6437086/suppl/GSM6437086_DS002_processed.tar.gz,Reconstruction for the matched benchmark
GSE210776,GSM6437088_DS004_processed.tar.gz,GSE210776/GSM6437088_DS004_processed.tar.gz,84262594,eaf06a0bbaf898487c2940ddb4b0d3af,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6437nnn/GSM6437088/suppl/GSM6437088_DS004_processed.tar.gz,Reconstruction for the matched benchmark
GSE210776,GSM6437089_DS005_processed.tar.gz,GSE210776/GSM6437089_DS005_processed.tar.gz,103994774,52236f585bd032c16f791a5bfa4e9bf9,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6437nnn/GSM6437089/suppl/GSM6437089_DS005_processed.tar.gz,Reconstruction for the matched benchmark
GSE210776,GSM6437095_DS011_processed.tar.gz,GSE210776/GSM6437095_DS011_processed.tar.gz,86646433,072c60a115eb3c70baa0fc68bcb70a41,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6437nnn/GSM6437095/suppl/GSM6437095_DS011_processed.tar.gz,Reconstruction for the matched benchmark
GSE210776,GSM6437096_DS012_processed.tar.gz,GSE210776/GSM6437096_DS012_processed.tar.gz,79498569,1e8d4f746f6cd4e61ba65794f79f2a18,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6437nnn/GSM6437096/suppl/GSM6437096_DS012_processed.tar.gz,Reconstruction for the matched benchmark
GSE210776,GSM6437098_DS014_processed.tar.gz,GSE210776/GSM6437098_DS014_processed.tar.gz,80262921,06bdedd8d320d93df9eace60da1bdc58,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6437nnn/GSM6437098/suppl/GSM6437098_DS014_processed.tar.gz,Reconstruction for the matched benchmark
GSE95401,GSE95401_MunjiSoungDaneman_RNAseq_BBB_Health_Disease.xlsx,GSE95401/GSE95401_MunjiSoungDaneman_RNAseq_BBB_Health_Disease.xlsx,48038044,c40e32753e2fb713dddc6fc4e0556fcd,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95401/suppl/GSE95401_MunjiSoungDaneman_RNAseq_BBB_Health_Disease.xlsx,Reconstruction for the matched benchmark
