Feature,Delta,p,nA,nB,FDR
Caveolae_structural,-0.3651619232965271,0.0027417070451464594,4,3,0.022098787119169138
TGF_response,0.053261781786279216,0.005677013270077946,4,3,0.022098787119169138
PLVAP_permeability,0.06119983412428118,0.0060269419415915826,4,3,0.022098787119169138
Tight_junction,-0.28832493587226726,0.013337740022044613,4,3,0.036678785060622686
IFN_antigen_presentation,0.39116311593158803,0.025247195056123783,4,3,0.055543829123472326
Wnt_BBB,-0.09467525865584459,0.03139738591614679,4,3,0.05756187417960245
BBB_transport_identity,-0.18867712246864654,0.04161488879595144,4,3,0.06539482525078083
ECM_protease,0.07887524443480319,0.0956568062867308,4,3,0.11005603985501625
VEGF_response,-0.0892172678636804,0.0958565642897388,4,3,0.11005603985501625
ROS_Src,0.03371499541856343,0.10005094532274204,4,3,0.11005603985501625
Adhesion_trafficking,-0.060082695055558966,0.35651324065446,4,3,0.35651324065446
