Feature,Delta,p,nA,nB,FDR
H2-Aa,0.4578687114853651,0.0005244864926245388,4,3,0.018426501381083954
Timp1,0.14025364136559382,0.0005264714680309701,4,3,0.018426501381083954
Smad4,-0.08275793591204089,0.001599380393369215,4,3,0.028517853390415872
H2-Ab1,0.4643202956021181,0.0016295916223094784,4,3,0.028517853390415872
Apln,0.01716081404068519,0.002115765439504303,4,3,0.029620716153060243
Cav1,-0.5009366382225193,0.0030722431688367234,4,3,0.035842836969761774
Lsr,-0.24984070249818635,0.0040730192797808675,4,3,0.04073019279780867
Cldn5,-0.5797845344979065,0.006575541023066972,4,3,0.0542160944767954
Cav2,-0.4630170670713122,0.006970640718445122,4,3,0.0542160944767954
Cxcl9,0.6332488832438493,0.009020723164961266,4,3,0.060914863469848625
B2m,0.5098441044441784,0.00957233568811907,4,3,0.060914863469848625
Abcg2,-0.44601929291705344,0.011368637699549945,4,3,0.0644375393877236
Angpt2,0.19718244517136085,0.012316498497109786,4,3,0.0644375393877236
Kdr,-0.22059875792511385,0.013555550015482901,4,3,0.0644375393877236
Ctgf,0.3239864223017514,0.0138080441545122,4,3,0.0644375393877236
Vegfa,0.03539527289669622,0.017792116149108073,4,3,0.07335679490664809
Tap1,0.5766041744945658,0.017815221620185964,4,3,0.07335679490664809
Cybb,0.09490932726255441,0.02360469071082841,4,3,0.09179601943099938
Ifng,0.04967505562333967,0.025032762610732603,4,3,0.09222596751322538
Flt1,-0.5530112103311415,0.02704576465328886,4,3,0.09350133546443741
Serpine1,0.22468888260236222,0.028050400639331223,4,3,0.09350133546443741
Fcgrt,-0.21864100100473716,0.03524190944352184,4,3,0.11201372589356311
Ifit2,0.12042254573196412,0.039108443565945096,4,3,0.11201372589356311
Ehd2,-0.13153206459574973,0.03912716951656095,4,3,0.11201372589356311
Src,0.028172721058699536,0.04000490210484397,4,3,0.11201372589356311
Icam1,-0.529176156416594,0.042331503306885836,4,3,0.11215387038348804
Lef1,-0.3017413276356967,0.04421544875618516,4,3,0.11215387038348804
Cxcl10,0.42810448862751116,0.044861548153395214,4,3,0.11215387038348804
Axin2,-0.09557406785995425,0.04998577754577206,4,3,0.11441129564132506
Abcb1a,-0.38473304215238113,0.050195139126696965,4,3,0.11441129564132506
Stat1,0.43577277684592775,0.05141736770015406,4,3,0.11441129564132506
Ifit3,0.30132010725691405,0.052302306578891455,4,3,0.11441129564132506
Ifit1,0.2311760641927799,0.06682008310866824,4,3,0.13926162000948308
Smad2,-0.026317926995810204,0.06764135829032035,4,3,0.13926162000948308
Mfsd2a,-0.10294433925266333,0.07318267857808493,4,3,0.14636535715616986
Sele,-0.13786647848865025,0.07839607297875521,4,3,0.15243680856980182
Esm1,0.0226070806225936,0.0815604144372164,4,3,0.1543034867731121
Tjp1,-0.2194869210357182,0.08625024659056686,4,3,0.1588820331931495
Il6,0.023006908611766512,0.09796889733249853,4,3,0.17584161059679224
Abcb1b,0.038916648920559564,0.1076480678904193,4,3,0.18649882955196406
Adgra2,-0.06980489028146222,0.11284341447985646,4,3,0.18649882955196406
Ccl2,0.05960956029017417,0.11513226392138497,4,3,0.18649882955196406
Vcam1,-0.18544275553729905,0.11614763920004785,4,3,0.18649882955196406
Il1b,0.061400953067184204,0.11722783571837742,4,3,0.18649882955196406
Isg15,0.3845347107193633,0.13108662130195045,4,3,0.20391252202525625
Nox4,0.0019607665398809664,0.13849416687733845,4,3,0.2107519930742107
Ocln,-0.10418758545725737,0.16058321620288257,4,3,0.23916649221705916
Ncf1,0.030831192275180157,0.16420012486088323,4,3,0.23945851542212138
Reck,-0.07861932203712682,0.19215204877547173,4,3,0.2745029268221025
Mmp2,0.03503993906117345,0.20610903237700262,4,3,0.28855264532780367
Timp2,0.16056902088245104,0.21743300797958204,4,3,0.29843746193275966
Tnf,-0.06418697120358322,0.2309007624857158,4,3,0.3085476939215749
Ncf2,0.019265392655655314,0.23361468254062095,4,3,0.3085476939215749
Irf1,0.1507405285345199,0.2676867720765876,4,3,0.3470013712103913
Rac1,0.09106300572005632,0.2897827872348248,4,3,0.3688144564806861
Plvap,0.007848996662485007,0.34690756940846235,4,3,0.4336344617605779
Tgfbr2,0.019069014678185225,0.365978049234687,4,3,0.4494467271303174
Il17ra,0.018997727729929498,0.43947505713549956,4,3,0.5304009310256029
Mmp9,-0.020361623570005503,0.44976846477347415,4,3,0.5336236022736134
Tcf7l2,-0.01764781565654755,0.46574844447826835,4,3,0.5433731852246464
Il17rc,0.010100757679685865,0.5475730983507888,4,3,0.6283625718779544
Smad7,-0.032171718566318286,0.580517939987127,4,3,0.6554234806306273
Slc2a1,-0.048605586941695034,0.6223762652305548,4,3,0.6915291835895053
Tgfbr1,0.0067592757401392645,0.7298308213847934,4,3,0.7982524608896178
Hif1a,-0.030197437582082043,0.7510028141896756,4,3,0.8058939224515281
Smad3,-0.007161759558035247,0.7598428411685837,4,3,0.8058939224515281
Tgfb1,0.026448366619874597,0.7736535498333297,4,3,0.80829475355721
Apcdd1,-0.004664128464280312,0.7867625435309052,4,3,0.8099026183406378
Pgf,0.0013560212395340963,0.8461027953302364,4,3,0.8583651546828485
Selp,0.004275171191504612,0.9738944268335102,4,3,0.9738944268335102
