threshold,value,contrast,module,n_x,n_y,median_x,median_y,delta_median,cliffs_delta,p_exact,FDR_BH
q30,module_z_ECadj,Active_vs_NAWM,Adhesion_trafficking,3,3,0.9019585988922224,-0.466809084184601,1.3687676830768234,0.7777777777777778,0.2,0.275
q30,module_z_ECadj,Active_vs_NAWM,BBB_transport_identity,3,3,0.0344547725747902,0.0503322847147691,-0.0158775121399789,-0.1111111111111111,1.0,1.0
q30,module_z_ECadj,Active_vs_NAWM,Caveolae_structural,3,3,0.8334344504187516,-0.560951686431284,1.3943861368500357,1.0,0.1,0.275
q30,module_z_ECadj,Active_vs_NAWM,ECM_protease,3,3,0.9146079599661197,-0.5036333483404685,1.418241308306588,1.0,0.1,0.275
q30,module_z_ECadj,Active_vs_NAWM,IFN_antigen_presentation,3,3,0.5604029849980425,-0.1949391434739326,0.7553421284719751,0.7777777777777778,0.2,0.275
q30,module_z_ECadj,Active_vs_NAWM,PLVAP_permeability,3,3,0.510151147607811,0.0304814536197567,0.4796696939880542,0.7777777777777778,0.2,0.275
q30,module_z_ECadj,Active_vs_NAWM,ROS_Src,3,3,0.9063302138429185,-0.3123076013613025,1.2186378152042208,1.0,0.1,0.275
q30,module_z_ECadj,Active_vs_NAWM,TGF_response,3,3,0.4449364748864598,-0.5482130448364114,0.9931495197228712,0.7777777777777778,0.2,0.275
q30,module_z_ECadj,Active_vs_NAWM,Tight_junction,3,3,-0.0588245996289353,0.2495418275174324,-0.3083664271463677,-0.1111111111111111,1.0,1.0
q30,module_z_ECadj,Active_vs_NAWM,VEGF_response,3,3,0.0593103739499092,-0.5222730085098731,0.5815833824597824,0.5555555555555556,0.4,0.4888888888888889
q30,module_z_ECadj,Active_vs_NAWM,Wnt_BBB,3,3,0.5768755439563269,-0.9911712693227466,1.5680468132790737,0.7777777777777778,0.2,0.275
q30,module_z_ECadj,Mixed_vs_NAWM,Adhesion_trafficking,6,3,0.0542370841852458,-0.466809084184601,0.5210461683698469,0.4444444444444444,0.3809523809523809,0.7857142857142856
q30,module_z_ECadj,Mixed_vs_NAWM,BBB_transport_identity,6,3,-0.1796260062972539,0.0503322847147691,-0.229958291012023,0.0,1.0,1.0
q30,module_z_ECadj,Mixed_vs_NAWM,Caveolae_structural,6,3,-0.1654034151231317,-0.560951686431284,0.3955482713081523,0.8888888888888888,0.0476190476190476,0.5238095238095237
q30,module_z_ECadj,Mixed_vs_NAWM,ECM_protease,6,3,-0.0655293577928193,-0.5036333483404685,0.4381039905476491,0.4444444444444444,0.3809523809523809,0.7857142857142856
q30,module_z_ECadj,Mixed_vs_NAWM,IFN_antigen_presentation,6,3,-0.5264773030881112,-0.1949391434739326,-0.3315381596141786,-0.2222222222222222,0.7142857142857142,0.7857142857142856
q30,module_z_ECadj,Mixed_vs_NAWM,PLVAP_permeability,6,3,-0.083185739092664,0.0304814536197567,-0.1136671927124208,-0.2222222222222222,0.7142857142857142,0.7857142857142856
q30,module_z_ECadj,Mixed_vs_NAWM,ROS_Src,6,3,-0.1396655843848919,-0.3123076013613025,0.1726420169764105,0.2222222222222222,0.7142857142857142,0.7857142857142856
q30,module_z_ECadj,Mixed_vs_NAWM,TGF_response,6,3,0.0636495449536874,-0.5482130448364114,0.6118625897900989,0.6666666666666666,0.1666666666666666,0.7857142857142856
q30,module_z_ECadj,Mixed_vs_NAWM,Tight_junction,6,3,-0.1836074562485936,0.2495418275174324,-0.433149283766026,-0.4444444444444444,0.3809523809523809,0.7857142857142856
q30,module_z_ECadj,Mixed_vs_NAWM,VEGF_response,6,3,-0.0255383356506251,-0.5222730085098731,0.496734672859248,0.3333333333333333,0.5476190476190476,0.7857142857142856
q30,module_z_ECadj,Mixed_vs_NAWM,Wnt_BBB,6,3,0.1773555797300041,-0.9911712693227466,1.1685268490527507,0.3333333333333333,0.5476190476190476,0.7857142857142856
q30,module_z_ECadj,Active_vs_Mixed,Adhesion_trafficking,3,6,0.9019585988922224,0.0542370841852458,0.8477215147069764,0.4444444444444444,0.3809523809523809,0.419047619047619
q30,module_z_ECadj,Active_vs_Mixed,BBB_transport_identity,3,6,0.0344547725747902,-0.1796260062972539,0.2140807788720441,0.2222222222222222,0.7142857142857142,0.7142857142857142
q30,module_z_ECadj,Active_vs_Mixed,Caveolae_structural,3,6,0.8334344504187516,-0.1654034151231317,0.9988378655418834,0.7777777777777778,0.0952380952380952,0.3492063492063492
q30,module_z_ECadj,Active_vs_Mixed,ECM_protease,3,6,0.9146079599661197,-0.0655293577928193,0.9801373177589388,0.6666666666666666,0.1666666666666666,0.4115646258503401
q30,module_z_ECadj,Active_vs_Mixed,IFN_antigen_presentation,3,6,0.5604029849980425,-0.5264773030881112,1.086880288086154,0.4444444444444444,0.3809523809523809,0.419047619047619
q30,module_z_ECadj,Active_vs_Mixed,PLVAP_permeability,3,6,0.510151147607811,-0.083185739092664,0.5933368867004751,0.7777777777777778,0.0952380952380952,0.3492063492063492
q30,module_z_ECadj,Active_vs_Mixed,ROS_Src,3,6,0.9063302138429185,-0.1396655843848919,1.0459957982278103,0.8888888888888888,0.0476190476190476,0.3492063492063492
q30,module_z_ECadj,Active_vs_Mixed,TGF_response,3,6,0.4449364748864598,0.0636495449536874,0.3812869299327723,0.5555555555555556,0.2619047619047618,0.4115646258503401
q30,module_z_ECadj,Active_vs_Mixed,Tight_junction,3,6,-0.0588245996289353,-0.1836074562485936,0.1247828566196583,0.5555555555555556,0.2619047619047618,0.4115646258503401
q30,module_z_ECadj,Active_vs_Mixed,VEGF_response,3,6,0.0593103739499092,-0.0255383356506251,0.0848487096005344,0.4444444444444444,0.3809523809523809,0.419047619047619
q30,module_z_ECadj,Active_vs_Mixed,Wnt_BBB,3,6,0.5768755439563269,0.1773555797300041,0.3995199642263227,0.5555555555555556,0.2619047619047618,0.4115646258503401
