donor,region,endothelial_cells,homeostatic_endothelial_cells,stress_endothelial_cells,repair_endothelial_cells,inflammatory_endothelial_cells,stress_or_inflammatory_fraction
ms1r1,DMWM,243,191,23,14,15,0.15637860082304528
ms1r1,Vas_Imm,181,95,49,27,10,0.3259668508287293
ms1r2,DMWM,1137,829,187,63,58,0.2154793315743184
ms1r2,Vas_Imm,83,39,21,17,6,0.3253012048192771
ms4r2,DMWM,539,45,465,14,15,0.8905380333951762
ms4r2,Vas_Imm,61,3,57,0,1,0.9508196721311475
ms6r0,DMWM,548,214,282,32,20,0.551094890510949
ms6r0,Vas_Imm,58,15,40,3,0,0.6896551724137931
ms11r1,DMWM,1140,471,223,419,27,0.21929824561403508
ms11r1,Vas_Imm,61,10,39,10,2,0.6721311475409836
