Dataset,Analysis subset,Module,Expected genes,Measured genes,Coverage fraction,Measured gene symbols,Use in scoring,Note
GSE210776,All endothelial cells (animal pseudobulk),Endothelial_immune_activation,20,18,0.9,STAT1; STAT3; IRF1; CXCL9; CXCL10; CCL2; B2M; TAP1; H2-AA; H2-AB1; ICAM1; VCAM1; SELE; SELP; IFIT1; IFIT2; IFIT3; ISG15,Scored,
GSE210776,All endothelial cells (animal pseudobulk),BBB_specialization,14,13,0.9285714285714286,CLDN5; OCLN; TJP1; LSR; MFSD2A; SLC2A1; ABCG2; LEF1; AXIN2; APCDD1; ADGRA2; RECK; TCF7L2,Scored,
GSE210776,All endothelial cells (animal pseudobulk),Structural_ECM_remodeling,15,15,1,CAV1; CAV2; EHD2; PLVAP; MMP2; MMP9; TIMP1; TIMP2; COL4A1; COL4A2; FN1; LAMA4; LAMB1; SPARC; VIM,Scored,
GSE210776,All endothelial cells (animal pseudobulk),Tight_junction,4,4,1,CLDN5; OCLN; TJP1; LSR,Scored,
GSE210776,All endothelial cells (animal pseudobulk),BBB_transport_identity,4,3,0.75,MFSD2A; SLC2A1; ABCG2,Scored,
GSE210776,All endothelial cells (animal pseudobulk),Caveolae_structural,3,3,1,CAV1; CAV2; EHD2,Scored,
GSE210776,All endothelial cells (animal pseudobulk),PLVAP_permeability,4,4,1,PLVAP; ESM1; APLN; ANGPT2,Scored,
GSE210776,All endothelial cells (animal pseudobulk),Adhesion_trafficking,6,6,1,ICAM1; VCAM1; SELE; SELP; CCL2; CXCL10,Scored,
GSE210776,All endothelial cells (animal pseudobulk),IFN_antigen_presentation,14,12,0.8571428571428571,STAT1; IRF1; CXCL9; CXCL10; B2M; TAP1; H2-AA; H2-AB1; IFIT1; IFIT2; IFIT3; ISG15,Scored,
GSE210776,All endothelial cells (animal pseudobulk),Wnt_BBB,6,6,1,LEF1; AXIN2; APCDD1; ADGRA2; RECK; TCF7L2,Scored,
GSE210776,All endothelial cells (animal pseudobulk),TGF_response,8,8,1,TGFBR1; TGFBR2; SMAD2; SMAD3; SMAD4; SMAD7; SERPINE1; CTGF,Scored,
GSE210776,All endothelial cells (animal pseudobulk),VEGF_response,6,6,1,KDR; FLT1; PGF; ANGPT2; ESM1; APLN,Scored,
GSE210776,All endothelial cells (animal pseudobulk),ROS_Src,7,7,1,SRC; RAC1; NOX4; CYBB; NCF1; NCF2; HIF1A,Scored,
GSE210776,All endothelial cells (animal pseudobulk),ECM_protease,4,4,1,MMP2; MMP9; TIMP1; TIMP2,Scored,
