marker,region,observation,image_level_value
CD31,Lesion MS,1,7.27
CD31,Lesion MS,2,13.21
CD31,Lesion MS,3,9.43
CD31,Lesion MS,4,10.15
CD31,Lesion MS,5,11.62
CD31,Lesion MS,6,5.9
CD31,Lesion MS,7,11.47
CD31,Lesion MS,8,20.04
CD31,Lesion MS,9,4.79
CD31,Lesion MS,10,11.32
CD31,Lesion MS,11,4.81
CD31,Lesion MS,12,6.04
CD31,NAWM MS,1,5.21
CD31,NAWM MS,2,13.07
CD31,NAWM MS,3,10.98
CD31,NAWM MS,4,9.16
CD31,NAWM MS,5,7.6
CD31,NAWM MS,6,3.83
CD31,NAWM MS,7,8.8
CD31,NAWM MS,8,4.79
CD31,NAWM MS,9,8.28
CD31,NAWM MS,10,5.26
CD31,NAWM MS,11,2.54
CD31,NAWM HC,1,8.9
CD31,NAWM HC,2,11.15
CD31,NAWM HC,3,6.61
CD31,NAWM HC,4,4.94
CD31,NAWM HC,5,10.36
CD31,NAWM HC,6,6.3
CD31,NAWM HC,7,3.02
CD31,NAWM HC,8,2.55
CD31,NAWM HC,9,3.17
CD31,NAWM HC,10,3.58
CD31,NAWM HC,11,5.46
EGFL7,Lesion MS,1,10.82
EGFL7,Lesion MS,2,9.84
EGFL7,Lesion MS,3,12.02
EGFL7,Lesion MS,4,9.0
EGFL7,Lesion MS,5,10.18
EGFL7,Lesion MS,6,7.01
EGFL7,Lesion MS,7,10.3
EGFL7,Lesion MS,8,11.2
EGFL7,Lesion MS,9,16.35
EGFL7,Lesion MS,10,7.09
EGFL7,Lesion MS,11,11.06
EGFL7,Lesion MS,12,11.55
EGFL7,NAWM MS,1,1.14
EGFL7,NAWM MS,2,7.86
EGFL7,NAWM MS,3,9.31
EGFL7,NAWM MS,4,4.89
EGFL7,NAWM MS,5,0.46
EGFL7,NAWM MS,6,0.0
EGFL7,NAWM MS,7,1.46
EGFL7,NAWM MS,8,0.93
EGFL7,NAWM MS,9,2.05
EGFL7,NAWM MS,10,1.66
EGFL7,NAWM MS,11,4.33
EGFL7,NAWM MS,12,1.06
EGFL7,NAWM HC,1,2.02
EGFL7,NAWM HC,2,0.36
EGFL7,NAWM HC,3,2.86
EGFL7,NAWM HC,4,3.27
EGFL7,NAWM HC,5,1.03
EGFL7,NAWM HC,6,0.1
EGFL7,NAWM HC,7,3.33
EGFL7,NAWM HC,8,1.35
EGFL7,NAWM HC,9,0.46
EGFL7,NAWM HC,10,2.39
EGFL7,NAWM HC,11,1.14
EGFL7,NAWM HC,12,0.0
MCAM,Lesion MS,1,7.155
MCAM,Lesion MS,2,20.75
MCAM,Lesion MS,3,8.74
MCAM,Lesion MS,4,14.94
MCAM,Lesion MS,5,4.91
MCAM,Lesion MS,6,13.28
MCAM,Lesion MS,7,4.55
MCAM,Lesion MS,8,9.94
MCAM,Lesion MS,9,6.03
MCAM,Lesion MS,10,5.93
MCAM,Lesion MS,11,8.84
MCAM,Lesion MS,12,8.51
MCAM,NAWM MS,1,3.69
MCAM,NAWM MS,2,9.52
MCAM,NAWM MS,3,9.8
MCAM,NAWM MS,4,11.39
MCAM,NAWM MS,5,8.48
MCAM,NAWM MS,6,6.55
MCAM,NAWM MS,7,5.41
MCAM,NAWM MS,8,14.05
MCAM,NAWM MS,9,6.76
MCAM,NAWM MS,10,6.09
MCAM,NAWM MS,11,8.28
MCAM,NAWM MS,12,6.66
MCAM,NAWM HC,1,4.0
MCAM,NAWM HC,2,4.42
MCAM,NAWM HC,3,6.45
MCAM,NAWM HC,4,4.21
MCAM,NAWM HC,5,3.69
MCAM,NAWM HC,6,3.85
MCAM,NAWM HC,7,7.92
MCAM,NAWM HC,8,2.34
MCAM,NAWM HC,9,7.23
MCAM,NAWM HC,10,2.8
MCAM,NAWM HC,11,6.66
MCAM,NAWM HC,12,5.15
