figure_file,sha256,width_pixels,height_pixels,dpi
figures/main/Figure_1_study_design.png,adc69e327b740d08ed4c48e1d1625c15fb4ccae51f7d4b944a0b6d5d6bcb77fb,2478,2197,350.012 x 350.012
figures/main/Figure_2_acute_EAE_meta.png,3fefdc5d9e1071e7c9690c4a324e45bed84cfc77beac8d68f0695c623f6e03e3,2948,2277,350.012 x 350.012
figures/main/Figure_3_human_MS_microenvironment_stage.png,1ec24e102a38dc013654db7d25621e73a091e7444b945a954f88cb5d771febea,3046,3256,350.012 x 350.012
figures/main/Figure_4_cross_species_concordance.png,38017578abc641d5724eb11628e25ff48dbeb6332117b50f34e369293e063db8,2594,2238,350.012 x 350.012
figures/main/Figure_5_VEGFA_perturbation.png,fd4dd2e1ae0797fa4d15059fefdfda5fd35a5a0f6120ffd47517889851f6ac22,3091,2326,350.012 x 350.012
figures/supplementary/Figure_S1_GSE210776_QC.png,d88573b37e69e77bea7a48a3db6f7a4d567b617ece631a3595a4bc23534925d6,2630,1440,350.012 x 350.012
figures/supplementary/Figure_S2_acute_EAE_sample_scores.png,e1bc7d0a4bc92f1d3e9a3f777ac962c40d966937f7a6f1863bbbd624e139c0e5,2707,1473,350.012 x 350.012
figures/supplementary/Figure_S3_GSE199460_subtype_sensitivity.png,b09dbb8e6a287ab8da42525efe72666c01303831ea3a13f1162734b3c488466f,1937,1195,350.012 x 350.012
figures/supplementary/Figure_S4_GSE95401_time_course.png,18d98484f88705528e7ca7614d98dc16c783a1ac8149543304a9d4e50acc9476,2732,1400,350.012 x 350.012
figures/supplementary/Figure_S5_GSE279183_EC_QC.png,ea410fae354c7e388f1ed9739cb3d91ed68d6cce6ef0a90ad59076d065ac2c90,2630,1440,350.012 x 350.012
figures/supplementary/Figure_S6_GSE208747_threshold_sensitivity.png,39df662111d7fc95dc0ecaf17b0d5eb6caca84502b1627254da92bb196315e6b,2241,1790,350.012 x 350.012
figures/supplementary/Figure_S7_VEGFA_all_modules.png,b0fe6f131d992fb05c18316c07815f274b63797986d02b0c837962084c90a3fd,2301,1895,350.012 x 350.012
figures/supplementary/Figure_S8_published_functional_protein_source_data.png,73ac3554646d4fd04839afd861d4092f7fbd09fa7de0268cdeeaae26e325a200,2731,2253,350.012 x 350.012
figures/supplementary/Figure_S9_GSE284005_spatial_validation.png,b4939314e1f8b9f8e25e71c239f106ce603dfe060a58dd1e183c3c110d88bac4,2693,2057,299.999 x 299.999
