dataset,gene,n_case,n_control,hedges_g,var_g,ci_low,ci_high
GSE210776,0610009B22RIK,4,3,-0.4364508253350672,0.6023822656268994,-1.9576712931280484,1.084769642457914
GSE210776,0610009L18RIK,4,3,0.8897527986659939,0.6624993376067302,-0.7055708222178738,2.485076419549862
GSE210776,0610009O20RIK,4,3,-1.5849060931385033,0.8345260657400888,-3.375413097913164,0.205600911636157
GSE210776,0610010F05RIK,4,3,-3.465392490395784,1.7842278445824826,-6.083462330516186,-0.8473226502753821
GSE210776,0610010K14RIK,4,3,-0.42926041458160985,0.6017597836860109,-1.949694689717559,1.0911738605543393
GSE210776,0610012G03RIK,4,3,0.3994511740042538,0.599289457374671,-1.1178590709524379,1.9167614189609457
GSE210776,0610025J13RIK,4,3,1.3541494890428132,0.7667054172008245,-0.36206015162428407,3.07035912970991
GSE210776,0610030E20RIK,4,3,-0.7307821391944034,0.6367375868298882,-2.2947805770343197,0.8332162986455129
GSE210776,0610037L13RIK,4,3,-0.37579304307477035,0.597455374455673,-1.890779698629503,1.139193612479962
GSE210776,0610039K10RIK,4,3,0.34021069430853934,0.5949076649855232,-1.171542356228613,1.8519637448456914
GSE210776,0610040B10RIK,4,3,1.9090006505980281,0.9477616817317028,0.0008808229822387936,3.8171204782138175
GSE210776,0610040F04RIK,4,3,-0.47459957771463496,0.6058578092500243,-2.000202199636508,1.051003044207238
GSE210776,0610040J01RIK,4,3,0.1909479090371771,0.5869794437299004,-1.3106979317098297,1.6925937497841839
GSE210776,0610043K17RIK,4,3,-0.14515434078762757,0.5854403115982825,-1.6448301394307747,1.3545214578555198
GSE210776,1010001B22RIK,4,3,-0.7165442448997943,0.634676898823235,-2.27800983034167,0.8449213405420812
GSE210776,1110002J07RIK,4,3,-0.7982562829877982,0.647054642666283,-2.3748745358527055,0.7783619698771089
GSE210776,1110002L01RIK,4,3,-0.3775357775390123,0.597586659665532,-1.8926888759984082,1.1376173209203837
GSE210776,1110004E09RIK,4,3,-0.5177404926986078,0.610138855111313,-2.0487236492994962,1.0132426639022807
GSE210776,1110004F10RIK,4,3,0.5369965622996553,0.6121698641254981,-0.9965326190413824,2.070525743640693
GSE210776,1110008F13RIK,4,3,0.4924664884142519,0.6075856575544398,-1.0353100207850274,2.0202429976135314
GSE210776,1110008L16RIK,4,3,1.3065650898283525,0.7540445667291504,-0.39541540581391654,3.0085455854706216
GSE210776,1110008P14RIK,4,3,1.3171694886779353,0.7568268795237427,-0.3879481437387875,3.0222871210946582
GSE210776,1110012L19RIK,4,3,-0.5080850412820803,0.6091483742507947,-2.0378250173962735,1.021654934832113
GSE210776,1110017D15RIK,4,3,0.6883052118090374,0.6307097397936817,-0.8682726167595849,2.2448830403776596
GSE210776,1110019D14RIK,4,3,-0.2901557779011025,0.5917523708782728,-1.797894451533232,1.2175828957310268
GSE210776,1110020A21RIK,4,3,-0.277249614458214,0.5910200682050561,-1.7840550743688635,1.2295558454524356
GSE210776,1110032A03RIK,4,3,1.4591721165938256,0.7962516599178239,-0.28979339957289185,3.2081376327605433
GSE210776,1110034G24RIK,4,3,-1.4926211281201136,0.8061251165443895,-3.2523967523736506,0.26715449613342357
GSE210776,1110035H17RIK,4,3,-0.3194237875589961,0.5935364889391869,-1.829433647099251,1.1905860719812589
GSE210776,1110038F14RIK,4,3,-2.0250578636398315,0.9934192684422851,-3.978598101681496,-0.07151762559816732
GSE210776,1110046J04RIK,4,3,1.2477312424314952,0.7390166586672977,-0.4372038886451557,2.9326663735081464
GSE210776,1110051M20RIK,4,3,-0.3857865027895096,0.5982164559067894,-1.9017378004938659,1.1301647949148468
GSE210776,1110059E24RIK,4,3,0.5865059498400684,0.6177322562531135,-0.9539745711734107,2.1269864708535478
GSE210776,1110059G10RIK,4,3,0.7355730825491853,0.6374401093104244,-0.8292879093369714,2.300434074435342
GSE210776,1110065P20RIK,4,3,0.1414370173444534,0.5853337763208629,-1.358102323624708,1.640976358313615
GSE210776,1190002N15RIK,4,3,-0.7397987186997478,0.6380635477523122,-2.3054247676160533,0.8258273302165579
GSE210776,1190007I07RIK,4,3,0.9412502377803125,0.6719285343454828,-0.6653862044621777,2.5478866800228026
GSE210776,1200007C13RIK,4,3,-0.7210629893881306,0.6353265167998681,-2.283327482660116,0.8412015038838547
GSE210776,1300002E11RIK,4,3,-2.7744146141120325,1.3530709784331751,-5.054317566158213,-0.4945116620658525
GSE210776,1300017J02RIK,4,3,-0.7291047201884092,0.6364927026334353,-2.292802378444827,0.8345929380680087
