dataset,module,genes_expected,genes_found,genes_used,subset
GSE210776,Endothelial_immune_activation,20,18,STAT1;STAT3;IRF1;CXCL9;CXCL10;CCL2;B2M;TAP1;H2-AA;H2-AB1;ICAM1;VCAM1;SELE;SELP;IFIT1;IFIT2;IFIT3;ISG15,
GSE210776,BBB_specialization,14,13,CLDN5;OCLN;TJP1;LSR;MFSD2A;SLC2A1;ABCG2;LEF1;AXIN2;APCDD1;ADGRA2;RECK;TCF7L2,
GSE210776,Structural_ECM_remodeling,15,15,CAV1;CAV2;EHD2;PLVAP;MMP2;MMP9;TIMP1;TIMP2;COL4A1;COL4A2;FN1;LAMA4;LAMB1;SPARC;VIM,
GSE210776,Tight_junction,4,4,CLDN5;OCLN;TJP1;LSR,
GSE210776,BBB_transport_identity,4,3,MFSD2A;SLC2A1;ABCG2,
GSE210776,Caveolae_structural,3,3,CAV1;CAV2;EHD2,
GSE210776,PLVAP_permeability,4,4,PLVAP;ESM1;APLN;ANGPT2,
GSE210776,Adhesion_trafficking,6,6,ICAM1;VCAM1;SELE;SELP;CCL2;CXCL10,
GSE210776,IFN_antigen_presentation,14,12,STAT1;IRF1;CXCL9;CXCL10;B2M;TAP1;H2-AA;H2-AB1;IFIT1;IFIT2;IFIT3;ISG15,
GSE210776,Wnt_BBB,6,6,LEF1;AXIN2;APCDD1;ADGRA2;RECK;TCF7L2,
GSE210776,TGF_response,8,8,TGFBR1;TGFBR2;SMAD2;SMAD3;SMAD4;SMAD7;SERPINE1;CTGF,
GSE210776,VEGF_response,6,6,KDR;FLT1;PGF;ANGPT2;ESM1;APLN,
GSE210776,ROS_Src,7,7,SRC;RAC1;NOX4;CYBB;NCF1;NCF2;HIF1A,
GSE210776,ECM_protease,4,4,MMP2;MMP9;TIMP1;TIMP2,
GSE199460,Endothelial_immune_activation,20,18,STAT1;STAT3;IRF1;CXCL9;CXCL10;CCL2;B2M;TAP1;H2-AA;H2-AB1;ICAM1;VCAM1;SELE;SELP;IFIT1;IFIT2;IFIT3;ISG15,All_endothelial
GSE199460,BBB_specialization,14,13,CLDN5;OCLN;TJP1;LSR;MFSD2A;SLC2A1;ABCG2;LEF1;AXIN2;APCDD1;ADGRA2;RECK;TCF7L2,All_endothelial
GSE199460,Structural_ECM_remodeling,15,15,CAV1;CAV2;EHD2;PLVAP;MMP2;MMP9;TIMP1;TIMP2;COL4A1;COL4A2;FN1;LAMA4;LAMB1;SPARC;VIM,All_endothelial
GSE199460,Tight_junction,4,4,CLDN5;OCLN;TJP1;LSR,All_endothelial
GSE199460,BBB_transport_identity,4,3,MFSD2A;SLC2A1;ABCG2,All_endothelial
GSE199460,Caveolae_structural,3,3,CAV1;CAV2;EHD2,All_endothelial
GSE199460,PLVAP_permeability,4,4,PLVAP;ESM1;APLN;ANGPT2,All_endothelial
GSE199460,Adhesion_trafficking,6,6,ICAM1;VCAM1;SELE;SELP;CCL2;CXCL10,All_endothelial
GSE199460,IFN_antigen_presentation,14,12,STAT1;IRF1;CXCL9;CXCL10;B2M;TAP1;H2-AA;H2-AB1;IFIT1;IFIT2;IFIT3;ISG15,All_endothelial
GSE199460,Wnt_BBB,6,6,LEF1;AXIN2;APCDD1;ADGRA2;RECK;TCF7L2,All_endothelial
GSE199460,TGF_response,8,8,TGFBR1;TGFBR2;SMAD2;SMAD3;SMAD4;SMAD7;SERPINE1;CTGF,All_endothelial
GSE199460,VEGF_response,6,6,KDR;FLT1;PGF;ANGPT2;ESM1;APLN,All_endothelial
GSE199460,ROS_Src,7,7,SRC;RAC1;NOX4;CYBB;NCF1;NCF2;HIF1A,All_endothelial
GSE199460,ECM_protease,4,4,MMP2;MMP9;TIMP1;TIMP2,All_endothelial
GSE199460,Endothelial_immune_activation,20,18,STAT1;STAT3;IRF1;CXCL9;CXCL10;CCL2;B2M;TAP1;H2-AA;H2-AB1;ICAM1;VCAM1;SELE;SELP;IFIT1;IFIT2;IFIT3;ISG15,Venous_like
GSE199460,BBB_specialization,14,13,CLDN5;OCLN;TJP1;LSR;MFSD2A;SLC2A1;ABCG2;LEF1;AXIN2;APCDD1;ADGRA2;RECK;TCF7L2,Venous_like
GSE199460,Structural_ECM_remodeling,15,15,CAV1;CAV2;EHD2;PLVAP;MMP2;MMP9;TIMP1;TIMP2;COL4A1;COL4A2;FN1;LAMA4;LAMB1;SPARC;VIM,Venous_like
GSE199460,Tight_junction,4,4,CLDN5;OCLN;TJP1;LSR,Venous_like
GSE199460,BBB_transport_identity,4,3,MFSD2A;SLC2A1;ABCG2,Venous_like
GSE199460,Caveolae_structural,3,3,CAV1;CAV2;EHD2,Venous_like
GSE199460,PLVAP_permeability,4,4,PLVAP;ESM1;APLN;ANGPT2,Venous_like
GSE199460,Adhesion_trafficking,6,6,ICAM1;VCAM1;SELE;SELP;CCL2;CXCL10,Venous_like
GSE199460,IFN_antigen_presentation,14,12,STAT1;IRF1;CXCL9;CXCL10;B2M;TAP1;H2-AA;H2-AB1;IFIT1;IFIT2;IFIT3;ISG15,Venous_like
GSE199460,Wnt_BBB,6,6,LEF1;AXIN2;APCDD1;ADGRA2;RECK;TCF7L2,Venous_like
GSE199460,TGF_response,8,8,TGFBR1;TGFBR2;SMAD2;SMAD3;SMAD4;SMAD7;SERPINE1;CTGF,Venous_like
GSE199460,VEGF_response,6,6,KDR;FLT1;PGF;ANGPT2;ESM1;APLN,Venous_like
GSE199460,ROS_Src,7,7,SRC;RAC1;NOX4;CYBB;NCF1;NCF2;HIF1A,Venous_like
GSE199460,ECM_protease,4,4,MMP2;MMP9;TIMP1;TIMP2,Venous_like
GSE95401,Endothelial_immune_activation,20,18,STAT1;STAT3;IRF1;CXCL9;CXCL10;CCL2;B2M;TAP1;H2-AA;H2-AB1;ICAM1;VCAM1;SELE;SELP;IFIT1;IFIT2;IFIT3;ISG15,
GSE95401,BBB_specialization,14,12,CLDN5;OCLN;TJP1;LSR;MFSD2A;SLC2A1;ABCG2;LEF1;AXIN2;APCDD1;RECK;TCF7L2,
GSE95401,Structural_ECM_remodeling,15,15,CAV1;CAV2;EHD2;PLVAP;MMP2;MMP9;TIMP1;TIMP2;COL4A1;COL4A2;FN1;LAMA4;LAMB1;SPARC;VIM,
GSE95401,Tight_junction,4,4,CLDN5;OCLN;TJP1;LSR,
GSE95401,BBB_transport_identity,4,3,MFSD2A;SLC2A1;ABCG2,
GSE95401,Caveolae_structural,3,3,CAV1;CAV2;EHD2,
GSE95401,PLVAP_permeability,4,4,PLVAP;ESM1;APLN;ANGPT2,
GSE95401,Adhesion_trafficking,6,6,ICAM1;VCAM1;SELE;SELP;CCL2;CXCL10,
