gene,mouse_pooled_g,mouse_se,mouse_ci_low,mouse_ci_high,mouse_tau2,mouse_I2,mouse_same_direction_3of3,human_hedges_g,human_var_g,human_ci_low,human_ci_high,human_n_case,human_n_control,source_human_log2FC,source_human_Wald_stat,source_human_p,source_human_FDR,state,prespecified_state_gene,same_direction_mouse_human,human_contrast,interpretation_boundary
APCDD1,0.0303831809445052,0.4804274924778752,-0.9112547043121304,0.9720210662011408,0.0,0.0,False,0.7833625457266271,0.455020221544623,-0.5387591139877215,2.105484205440976,4,6,,,,,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AXIN2,-1.8550747378135584,0.8476989484502184,-3.5165646767759866,-0.1935847988511305,0.8872834154674315,40.78618517783747,True,-0.7245822941601243,0.4494803854798135,-2.038630941988374,0.5894663536681253,4,6,,,,,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
CLDN5,-0.6940819965020768,0.5180802557235156,-1.7095192977201672,0.3213553047160136,0.0,0.0,False,0.2226543086489068,0.4197651004891619,-1.047215609901479,1.492524227199293,4,6,,,,,BBB_specialization,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
LEF1,-1.4066848706341002,0.7781049913292868,-2.9317706536395023,0.1184009123713019,0.6802771241051868,37.14971303474216,True,1.2089030338420257,0.508007075743695,-0.188079422088248,2.605885489772299,4,6,0.641020513366361,3.70069457797041,0.000215010138559,0.0052994709674508,BBB_specialization,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
LSR,-0.057154427624747,0.4861923389802008,-1.0100914120259408,0.8957825567764466,0.0,0.0,False,-0.1948707078266525,0.4190400787147205,-1.4636434874804682,1.0739020718271632,4,6,,,,,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
MFSD2A,-2.7918890808372003,0.9181763923422062,-4.591514809827924,-0.9922633518464764,0.7073749651152039,27.465643139376684,True,-1.0889470982936966,0.490779528096808,-2.462038003928388,0.284143807340995,4,6,-1.40146753975994,-4.15909090662303,3.19516726031648e-05,0.0013582803081512,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
OCLN,-0.9280960063752616,0.5129123951895662,-1.9334043009468116,0.0772122881962881,0.0,0.0,True,-0.5079813906971052,0.432794484997577,-1.7974088968279045,0.7814461154336937,4,6,-0.791248696734863,-2.83460435241317,0.0045882470320738,0.0410718853267577,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
RECK,-1.264345408643775,0.547224110166904,-2.3369046645709077,-0.1917861527166435,0.0,0.0,True,-0.1159407387471946,0.4175068075979945,-1.3823901661103466,1.1505086886159572,4,6,,,,,BBB_specialization,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
TCF7L2,0.2485132951595379,0.4802857434140686,-0.6928467619320365,1.1898733522511125,0.0,0.0,True,-0.3456861034051475,0.4241353467971313,-1.6221493219335388,0.9307771151232438,4,6,,,,,BBB_specialization,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
B2M,1.6687622089196934,1.0294975167247462,-0.3490529238608093,3.686577341700196,1.9204878866439827,60.54626796602707,True,0.2100669401529015,0.4194246741257418,-1.0592879464416431,1.4794218267474464,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
CXCL10,2.7207607387702266,0.73487095459086,1.280413667772141,4.161107809768312,0.0,0.0,True,0.8973937863287583,0.4669988921505082,-0.4420176307068711,2.236805203364388,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
CXCL9,3.883178337143152,1.5714438149982723,0.8031484597465384,6.963208214539765,4.4992160151343725,60.8772423463878,True,0.9562702251403074,0.4738199631347851,-0.3928875752591084,2.3054280255397237,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
