celltype,module,contrast,delta_median,p_MWU,n1,n2,cliffs_delta,FDR_BH
WholeCSF,IFN_antiviral,Acute_vs_NR_recovery,1.288639306306239,0.11428571428571428,4,4,0.75,0.13333333333333333
WholeCSF,IFN_antiviral,Acute_vs_R_recovery,1.2366805390240407,0.1111111111111111,4,5,0.7,0.15555555555555553
WholeCSF,IFN_antiviral,Acute_vs_All_recovery,1.2366805390240407,0.050349650349650346,4,9,0.7222222222222222,0.07048951048951049
WholeCSF,IFN_antiviral,NR_remission_vs_recovery,0.7006778788735578,0.16363636363636364,7,4,0.5714285714285714,0.3224242424242424
WholeCSF,IFN_antiviral,R_remission_vs_recovery,-0.0385748161525816,0.9999999999999998,13,5,-0.015384615384615385,0.9999999999999998
WholeCSF,IFN_antiviral,NR_vs_R_remission,0.6872939277439414,0.13480392156862744,7,13,0.42857142857142855,0.3145424836601307
WholeCSF,TNF_NFkB,Acute_vs_NR_recovery,0.9892951450597736,0.11428571428571428,4,4,0.75,0.13333333333333333
WholeCSF,TNF_NFkB,Acute_vs_R_recovery,0.6205117204858609,0.1111111111111111,4,5,0.7,0.15555555555555553
WholeCSF,TNF_NFkB,Acute_vs_All_recovery,0.7260544928116386,0.050349650349650346,4,9,0.7222222222222222,0.07048951048951049
WholeCSF,TNF_NFkB,NR_remission_vs_recovery,0.4538715360015362,0.5272727272727272,7,4,0.2857142857142857,0.6151515151515151
WholeCSF,TNF_NFkB,R_remission_vs_recovery,-0.29592112222917955,0.11718020541549955,13,5,-0.5076923076923077,0.5740740740740741
WholeCSF,TNF_NFkB,NR_vs_R_remission,0.38100923365680306,0.045562435500515995,7,13,0.5604395604395604,0.159468524251806
WholeCSF,IL1_IL6,Acute_vs_NR_recovery,2.3389621345774856,0.02857142857142857,4,4,1.0,0.049999999999999996
WholeCSF,IL1_IL6,Acute_vs_R_recovery,1.6356427063055567,0.015873015873015872,4,5,1.0,0.05555555555555555
WholeCSF,IL1_IL6,Acute_vs_All_recovery,2.0416147358686096,0.002797202797202797,4,9,1.0,0.009790209790209791
WholeCSF,IL1_IL6,NR_remission_vs_recovery,0.9349389021796566,0.012121212121212121,7,4,0.9285714285714286,0.08484848484848485
WholeCSF,IL1_IL6,R_remission_vs_recovery,0.4040274389541709,0.24603174603174605,13,5,0.38461538461538464,0.5740740740740741
WholeCSF,IL1_IL6,NR_vs_R_remission,-0.17240796504644318,0.877296181630547,7,13,-0.054945054945054944,0.938467492260062
WholeCSF,TGF_remodeling,Acute_vs_NR_recovery,0.3750627130437423,0.02857142857142857,4,4,1.0,0.049999999999999996
